transliteration,translation
41 ma-na 11.5 GÍN KÙ.BABBAR ṣa-ru-pá-am ku-nu-ki ša ki-ma šu-a-tí ú ku-nu-ki-a 3 né-pí-šu a-ha-ma 0.66666 ma-na 1 GÍN KÙ.BABBAR ša-du-a-sú mì-ma a-nim a-na šu-nu-nu ù ì-lí-áš-ra-ni áp-qí-id-ma a-ṣé-er ša-lim-a-šur a-na a-lim{ki} ub-lu a-ha-ma 5 GÍN KÙ.BABBAR a-na ú-ku-ul-tí-šu-nu a-dí-šu-nu-tí IGI a-hu-wa-qar DUMU šu-IŠTAR IGI ba-zi-a DUMU DINGIR-ku-ru-ub IGI a-šur-ta-ak-lá-ku DUMU qàr-da-a a-ha-ma 10 GÍN KÙ.BABBAR a be-a-li-im a-na šu-nu-nu 7 GÍN KÙ.BABBAR a-na ì-lí-áš-ra-ni ma-ah-ri-šu-nu-ma a-dí-in,"41 minas 11½ shekels of refined silver, sealed by his representatives and by me - in 3 packages; further, 0⅔ mina 1 shekel of silver, its transport tariff - all this I entrusted to Šu-Nūnu and Ilī-ašrannī, and they brought it to Šalim-Aššur in the City. Furthermore, I gave them 5 shekels of silver for their food. Witnessed by Ahu-waqar son of Šu-Ištar, by Baziya son of Ilī-kurub, by Aššur-taklāku son of Qardaya. Furthermore, I gave 10 shekels of silver as a working-capital to Šu-Nūnu and 7 shekels of silver to Ilī-ašrannī witnessed by the same men."
KIŠIB sú-en-na-da DUMU e-nam-a-šùr a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-ma IGI GÍR ša a-šùr ší-bu-tí a-dí-in šu-ku-bu-um DUMU a-šur-i-dí ù i-dí-IŠTAR DUMU a-šur-na-da tap-pá-ú-a,Seal of Suen-nādā son of Ennam-Aššur. The Kanesh colony gave me for these proceedings and I gave my testimony before Aššur's dagger. Šu-Kūbum son of Aššur-idī and Iddin-Ištar son of Aššur-nādā were my absent partners.
0.5 ma-na 7 GÍN KÙ.BABBAR ú 2.25 GÍN KÙ.GI IŠTAR-lá-ma-sí DAM ku-ni-li a-na lá-ma-sà-tim DAM e-lá-ma té-zi-ib KÙ.BABBAR ú KÙ.KI a-na en-nam-a-šur DUMU a-šùr-dan ú šu-mì-a-bi4-a DUMU a-mu-a lá-ma-sà-tum DAM e-lá-ma <gap> ú en-nam-a-šur DUMU e-lá-ma i ša-ha-at um-mì-šu i-zi-iz-ma ip-qí-du IGI PÚZUR-a-šur DUMU i-ku-pí-a IGI a-mur-DINGIR DUMU šu-ku-bi-im IGI ma-ṣí-ì-lí DUMU bu-zu-zu IGI PÚZUR.IŠTAR DUMU šu-ku-bi-im,"37 shekels of silver and 2 1 4 shekels of gold Ištar-lamassī, wife of Kūn-ilum, left to Lamassutum, wife of Elamma. That silver and gold Lamassutum, wife of Elamma, attended by Elamma's son Ennam-Aššur, entrusted to Ennam-Aššur, son of Aššur-dān, and Šumi-abiya, son of Amua. In the presence of Puzur-Aššur, son of Ikūn-pīya, of Amur-ilī, son of Šu-Kūbum, of Maṣi-ilī, son of Buzuzu, of Puzur-Ištar, son of Šu-Kūbum."
a-na en-na-nim DUMU a-bi4-a ú a-lá-hi-im DUMU šál-ma-a-šùr KIŠIB PUZUR4-a-šur,To Ennānum son of Abiya and Ali-ahum son of Šalim-Aššur; seal of Puzur-Aššur.
13.33333 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er i-dí-a-bi4-im a-mur-IŠTAR i-šu u4-mu-šu ma-al-ú IGI a-šur-e-mu-qí IGI en-nam-a-šur DUMU me-na-a,"Iddin-abum owes 13⅓ minas of silver to Amur-Ištar. His term has expired. Witnessed by Aššur-emūqi, by Ennam-Aššur son of Menaya."
a-na en-nam-a-šur qí-bi-ma um-ma a-lá-hu-um-ma a-hi a-ta a-ma-kam iš-tù a-wa-tù-um i-ba-tù-qú-ni tí-ir-ta-kà li-li-kam-ma a ma-lá tí-ir-tí-kà le-pu-uš a-ṣé-er ANŠE a-ni-ú-tim 3 ANŠE ù ṣú-ha-ri šé-ri-a a ma-lá té-er-tí-kà le-pu-uš,"To Ennam-Aššur from Ali-ahum: My dear brother, send me word there after the matter has been dropped, then I shall act in accordance with your instructions. Dispatch 3 donkeys and servants in addition to these donkeys. I shall act in accordance with your instructions."
um-ma ku-zi-zi-a-ma a-na en-um-a-šùr qí-bi-ma 2 TÚG ra-qá-tim ù hu-sà-ra-am šé-ep-IŠTAR ù ša-lim-ÌR-dí ub-lu-nim (TÚG)ra-qá-tí-kà a-šùr-e-mu-qí i-na ma-ri-it-hi-im i-dí-ší-na-ma ší-im-ší-na ù-lá ub-lam i-na a-lá-ki-šu ší-im-ší-na ù-šé-ba-lá-kum KÙ.BABBAR a-na qá-tí-a lá ma-qí-it-ma me-eh-ra-tim lá ú-šé-bi-lá-kum hu-sà-ar-kà ku-nu-ki-a ù 4.33333 GÍN KÙ.GI ku-nu-ki-a-ma ší-im ra-qá-tim ša pí-lá-ah-IŠTAR šé-ep-IŠTAR ù ša-lim-ÌR-dí na-áš-ú-ni-kum a-<gap> na-ru-uq <gap>-ru-tum <gap>-tám a-ma-kam a-na a-wi-il5-tim dí-in KÙ.BABBAR-áp-šu i-na a-lá-ak ṣú-ha-ri-im ú-šé-ba-lá-kum,"From Kuziziya to Ennam-Aššur: Šēp-Ištar and Šalim-wardī brought me 2 thin textiles and some lapis lazuli. Aššur-emūqī sold your thin textiles in Marithum, but he has not brought the proceeds from their sale. When he comes I shall send you the proceeds from them. No silver has fallen into my hands, so I did not send you a corresponding amount. Your lapis lazuli is under my seal and Šēp-Ištar and Šalim-wardī bring you 4 ⅓ shekels of gold, also under my seal, the proceeds from the thin textiles belonging to Pilah-Ištar. ... a sack ... give that to the lady there. I shall send you the silver for it when the servant comes."
<gap> i-na ITU.1.KAM ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb ITU.KAM áb-ša-ra-ni li-mu-um ša qá-té a-bu-ša-lim DAM.GÀR DUMU ì-lí-a-lúm KIŠIB a-mur-a-šùr DUMU da-dí-a KIŠIB <gap> DUMU ú-zu-bi4-iš-ki-im KIŠIB <gap> DUMU a-šùr-{d}UTU-ši <gap> i-ṣé-er <gap> DUMU a-šùr-{d}UTU-ši DAM.GÀR i-šu <gap> a-na <gap> ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb <gap> <gap>,"per month he will add interest in conformity with the rule of the karum. Month V, the eponymy of the successor of Abu-salim, the trader, son of Ili-alum. Seal of Amur-Assur, son of Dadiya, seal of ... son of Uzubiskum, seal of ... son of Assur-samsi. ... ..., son of Assur-samsi owes to the creditor. From ... within ... months he shall pay. If not, he will add interest in conformity with the rule of the karum x ..."
12 GÍN KÙ.BABBAR ší-im TÚG ša en-na-nim DUMU a-zu-a ša É-lá-ma il5-qé-ú um-ma e-lá-ma-ma a-na en-na-nim DUMU a-ku-kà um-me-a-ni-kà KÙ.BABBAR áš-qúl um-ma na-na-a-ma en-na-núm iš-pu-ri-ma GÉME ša e-lá-ma ak-ta um-ma en-na-num-ma a-lik a-ma-sú ki-ta mì-ma <gap> HA DÍ <gap>-Á <gap> i pì en-na-nim DUMU a-ku-ka na-na-a GÉME ša e-lá-ma ik-ta šu-ma e-lá-ma KÙ.BABBAR en-na-nim ú-ša-bi4 0.5 ma-na KÙ.BABBAR <gap> na-na-a a-na e-lá-ma i-ša-qal IGI <gap> dí-a IGI <gap> DUMU šu-IŠTAR IGI šu-IŠTAR DUMU da-da-nim,"As for the 12 shekels of silver, the price of a textile belonging to Ennānum, son of Azua, which Elamma took, Elamma declared: I paid the silver to Ennānum, the son of Akuka, your investor."" Nanaya said: ""At Ennānum's behest I took Elamma's slave-girl as security, for Ennānum told me: 'Go and take his slave-girl as securtiy"" Any ... ... declared: ""It was at the instruction of Ennānum, son of Akuka, that Nanaya took Elamma's slave-girl as security"". If Elamma has paid the silver to Ennānum Nanaya will pay 0½ mina of silver to Elamma. In the presence of ...diya, of ..., son of Šu-Ištar, of Šu-Ištar, son of Dadānum."""
15 ma-na KÙ.BABBAR ni-is-ha-sú DIRI ša-du-a-sú ša-bu kàr-wa-a a-na um-mì-a-ni-a ú-bi-il5 IGI a-ni-ni-im DUMU šu-hu-bur IGI a-šùr-iš-tí-kál DUMU a-šur-SIPA 15 GÍN KÙ.GI ni-is-ha-sú DIRI ša-du-a-sú ša-bu a-ṣé-er en-nam-a-šur a-šur-re-ṣí ú da-dí-a 0.66666 ma-na KÙ.BABBAR ni-is-ha-sú DIRI ša-du-a-sú ša-bu a-na a-šur-ta-ak-lá-ku DUMU lu-ra-bi4-a-ku 5 GÍN KÙ.BABBAR a-na um-mì-iš-ha-ra šé-bu-ul-ta-ša 4 GÍN KÙ.BABBAR ša lá-ma-sà-tim a-na um-mì-iš-ha-ra 1 GÍN KÙ.BABBAR a-na bu-ṣú-a mì-ma a-nim a-šur-mu-ta-pì-il5 ú-bi-il5 4 GÍN KÙ.BABBAR a qá-tí-šu 3 GÍN KÙ.BABBAR sà-sí-a 3 GÍN KÙ.BABBAR lá-qé-pu-um DUMU i-tur4-DINGIR a-na um-mì-iš-ha-ra ub-lu <gap>-tí-am DUMU ku-na-a ú-bi-il5-ší-im 1 ma-na KÙ.BABBAR ni-is-ha-sú DIRI ša-du-a-sú ša-bu a-na um-mì-a-ni-a 6 ma-na KÙ.BABBAR ša-du-a-sú ša-bu a-na a-šur-i-mì-tí DUMU i-ku-a 17 ma-na 8 GÍN KÙ.BABBAR ša-du-a-sú ša-bu ša i-a-tí ú kur-ub-IŠTAR a-ṣé-er a-,"15 minas of silver, its excise added, his transport fee paid, Karwāya brought to my investors, witnessed by Anīnum, son of Šu-hubur, by Aššuriš-tikal, son of Aššur-rē'ī. 15 shekels of gold, its excise added, his transport fee paid, to the address of Ennam-Aššur, Aššur-rēṣì and Dadiya. 0⅔ mina of silver, its import tax added, his transport fee paid, for Aššur-taklāku, son of Lū-rabiāku. 5 shekels of silver for Ummī-Išhara, her consignment; 4 shekels of silver of Lamassatum for Ummī-Išhara; 1 shekel of silver for Buṣua - all this Aššur-mūtappil brought; 4 shekels of silver for his use, 3 shekels of silver Sāsiya and 3 shekels of silver La-qēpum, son of Itūr-ilī, brought to Ummī-Išhara; one ........ the son of Kunnaya brought for her. 1 mina of silver, its excise added, his transport fee paid, for my investors; 6 minas of silver his transport fee paid, for Aššur-imittī, son of Ikua; 17 minas 8 shekels of silver, its transport fee paid, belonging to me and Kurub-Ištar to the address of Ali-ahum and Dadiya - all this Šalim-Aššur brought, in the presence of Šu-Kūbum, son of Azu, of Puzur-šadu'e. 17½ minas of silver, its excise added, his transport fee paid, belonging me and Kurub-Ištar, Aššur-nādā brought to Ali-ahum and Dadiya. 2 shekels of silver for Ummī-Išhara, in the presence of Iṣmid-ilī, of Šumi-abiya, son of Puzur-Aššur."
<gap> ú DUMU e-<gap> ep-ru-um iš-tí <gap> e-šu-ra ú e-ša-ri iš a-qá-qá-dí-a ša-pì-ik a-lam am-ta-na-ha-ar-ma a-na ra-bi4-ṣí-im lá ta-da-nim a-hu-ú-a a-tù-nu lu KÙ.BABBAR-ap <gap>-na qá-tí-ku-nu <gap>,"... and the son of E... dust with ... and correctly is poured over my head. I keep appealing to the City that they should not give an attorney. My dear brothers, the silver of ... for your hands ..."
a-na a-lá-hi-im qí-bi4-ma um-ma ha-nu-ma be-lí a-ta a-na-kam ša-zu-úz-za-tù-kà ù a-na-ku šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur ni-iṣ-ba-at-ma a-wa-tí-šu nu-ga-me-er-ma a-na 1.8333300000000001 ma-na KÙ.BABBAR i-na li-bi4-šu i-ku-un-ma IGI 2 ší-na ni-iṣ-ba-sú-ma um-ma a-na-ku-ma KÙ.BABBAR šu-qú-ul um-ma šu-ut-ma a-hu-a a-tù-nu a-na 20 u4-me-e KÙ.BABBAR lá-áš-qú-lá-ku-nu-tí um-ma né-nu-ma šu-ma KÙ.BABBAR a-na 20 u4-me-e lá ta-áš-ta-qá-al-ni-a-tí iš-tù ITU.1.KAM qá-ra-a-tim li-mu-um ma-ṣí-ì-lí a-na 1 ma-na-im 3 GÍN.TA ṣí-ib-tám lá tù-ṣa-áb um-ma šu-ut-ma lu-ṣí-ib ší-be-e ni-iš-ku-un-šu-um ṭup-pá-am ha-ar-ma-am qá-tí i-ṣa-ba-sú šu-ma be-lí a-ta tí-ir-ta-kà li-li-kam-ma ṭup-pá-am ša ší-be ú-kà-al lá-ah-ri-im-ma lá-at-be-a-ma lá-tal-kam a-we-lúm ú-na-a-ni a-ma-kam a-du-da a ma-lá a-we-lúm ig-mu-ru-ni ša-i-il5,"To Ali-ahum from hanu: My dear lord, your agents and I seized Šu-Illil son of Mannu-kī-Aššur here, we concluded his affair, the debt of his was determined at 1⅚ mina of silver, and we seized him before two witnesses, and I said:Pay the silver"" He answered: ""Dear brothers, I shall pay you the silver in 20 days."" We said: ""If you have not paid us the silver within 20 days - reckoned from the month Qarra'ātum, eponymy Maṣi-ilī - will you then not pay interest of 3 shekels per mina"" He answered: ""I shall pay the interest."" We set witnesses for him. I personally seized the certified tablet. If you are truly my lord, send word here, I hold the tablet with witnesses; I shall certify it, set out and come. The man cheats me. Ask Aduda there how much the man has spent. """
a-na a-lá-hi-im DUMU šál-ma-a-šur ù a-lá-hi-im DUMU A-ta-a qí-bi4-ma um-ma ma-<gap>-a-<gap> 4 <gap> ma-na KÙ.BABBAR ù 1 GÍN KÙ.GI KÙ.BABBAR ša DAM.GÀR ša a-na-num qá-tí ša-ak-na-at-ni a-ma-kam ší-ma-am ša-ma-<gap>,"To Ali-ahum son of Šalim-Aššur and Ali-ahum son of Ataya from Ma...: As to the 4 x mina of silver and 1 shekel of gold - silver belonging to a merchant coming from here, on which I have placed a claim - make purchases there ..."
3 GÍN KÙ.BABBAR i-ṣé-er tù-ur-ha-lá en-nam-a-šur i-šu-ú ù 30 ri-ik-sí ša qá-nu-we ra-bi-ú-tim a-dí 5 u4-me-e ú-ṣa-ba-am iš-tù ha-mu-uš-tim ša ma-nu-ba-lu-a-šur a-na ha-mu-uš-tim ša i-lá-kà-ni KÙ.BABBAR-pí i-ša-qá-lam šu-ma lá iš-qú-lam 0.5 GÍN.TA i-na ITU.KAM-im ṣí-ib-tám i-ta-na-ṣa-ba-am IGI lá-ma-sí DUMU MÍ-ah-ša-lim,"Turhala owes 3 shekels of silver to Ennam-Aššur, and he will add 30 large bundles of reeds within 5 days. Reckoned from the week of Mannum-balum-Aššur he will pay my silver in the next week. If he has not paid in time he will continue to add interest every month at the rate 0½ shekel per mina. Witnessed by Lamassī daughter of Ah-šalim."
<gap> áp-qí-id lu <gap> É be-et mu-<gap> tù-šé-ší-ir tí-ib-a-ma a-tal-kam bi-iš DAM.GÀR i-na a-lim{ki} lá a-dí-ší a-mu-<gap> ku-uš-da-ni É be-et⌈a-bi-ku-nu ni-is-ú-um ša KÁ i-ku-pì-a im-tù-qú-ut ú u4-ma-am i-ṣa-ru-um i-ma-qú-ut-ma i-qá-bi4-a-ni a ma-nim lá-ar-ší li-bi4 ú-dí ku-ri i-a-am ma-dí-id É a-šùr-ma-lik <gap> É be-et <gap> áp-qí-id <gap> KÙ.BABBAR a-nim <gap>,"... I entrusted. ... you have brought the house of ... in order. Set out and leave. As to the property of the merchant, I have not sold it in the City. ... approach me. As to your father's house, the nis'u of Ikūn-pīya's door has fallen down and today the annexe will fall, and he will blame me. Whom will I have My heart has made it known. My own depression fills me. Aššur-malik's house ... the house of ..."
a-na šu-ta-mu-zi <gap> ša-lim-a-šur <gap> qí-bi-ma um-ma ša-lim-a-šur-ma <gap> a-na a-lim{ki} <gap> um-me-a-nu-<gap> iṣ-bu-tù <gap> um-ma šu-nu-ma <gap> lu e-<gap> a-ta <gap> 0.5 ma-na KÙ.BABBAR a-na <gap> áš-qúl 0.5 ma-na LÁ 2 GÍN a-na šu-a-šur GUDU4 ù pu-us-qá-nim me-er-i-šu 0.33333 ma-na a-na i-ku-pì-a DUMU i-ku-a 0.33333 ma-na 3 GÍN KÙ.BABBAR a-na e-lá-ba-a 12 GÍN a-na ṣí-lá-da-ad 10 GÍN a-na a-ša-at ku-ki-dí áš-qú-ul 15 GÍN a-na dan-DINGIR áš-qú-ul 15 GÍN a-na šu-ma-am-ni-ir-ší ŠU.NÍGIN 14 ma-na LÁ 5 GÍN KÙ.BABBAR i-nu-mì <gap> ú ša <gap> 3 ma-na KÙ.BABBAR É šu-<gap> KÙ.BABBAR DUMU ku-ra-ra <gap> 7 ma-na KÙ.BABBAR É <gap> KÙ.BABBAR DUMU a-da-wa-<gap> a-mur-IŠTAR ŠU.NÍGIN 30 <gap> ma-ah-ri-ku-nu <gap>,"To Šu-Tammuzi, ... Šalim-Aššur ... from Šalim-Aššur: ... to the City ... the investors ... seized ... and they said: ... 0½ mina of silver I paid to ...; 0½ mina less 2 shekels of silver to Šu-Aššur, the priest, and Pušqānum, his son; I paid 0⅓ mina to Ikūn-piya son of Ikuwa, 0⅓ mina 3 shekels of silver to Elabaya, 12 shekels to Ṣill-Adad, 10 shekels to the wife of Kukidi. I paid 15 shekels to Dan-ilī, 15 shekels to Šūmam-nirši - in all 14 minas less 5 shekels of silver. When ... 3 minas of silver, the house of Šu-... silver, Kurara's son ... 7 minas of silver, the house ... silver, Adawa...'s son ... Amur-Ištar - in all 30 ... before you ..."
a-na ša-lim-a-šùr qí-bi-ma um-ma en-um-a-šur-ma i-na me-eh-ri-im ša ba-a-ba-tí-kà ša té-zi-ba-ni 5 ma-na KÙ.BABBAR iš-tí ì-lí-dan al-qé 3.83333 ma-na 5 GÍN iš-tí a-mur-{d}UTU 1 0.5 ma-na ša da-dí-a al-qé a-na 4 ma-na KÙ.BABBAR ša en-na-sú-in ha-bu-lá-ku-ni 2.5 ma-na ṣí-ib-tám 0.5 ma-na ma-na-ah-tám ŠU.NÍGIN 7 ma-na KÙ.BABBAR iš-tí en-na-sú-in al-qé 0.66666 ma-na 8 GÍN iš-tí i-tur4-DINGIR 1.3333300000000001 ma-na iš-tí ku-ku-wa 7 ma-na iš-tí tù-um-li-a-i-im 1 ma-na iš-tí DUMU uš-ha-ta ŠU.NÍGIN KÙ.BABBAR-pí-kà 27.5 ma-na 3 GÍN ša i-na ba-áb-tí-kà al-qé-ú ŠÀ.BA 10.5 ma-na 5 GÍN a-na É a-zu áš-qúl ša 3 ma-na KÙ.BABBAR ší-ma-am áš-am-ma (TÚG)ṣú-ba-tí a-na É kà-ri-im qá-at-kà a-ta-dí-ma 5.5 ma-na 7.5 GÍN É kà-ri-im al-pu-ut-kà 12 ma-na KÙ.BABBAR da-a-tám ša-li-im-tám ú-ša-áš-qí-lu-kà-ma 5.5 ma-na 7.5 GÍN ú-ṣa-hi-ir-ma 6.33333 ma-na 2.5 GÍN KÙ.BABBAR ṣa-ru-pá-am ú-ša-áš-qí-lu-ni 3 ma-na a-na il,"To Šalim-Aššur from Ennam-Aššur: From the copy of your outstanding loans that you left with me I have received 5 minas of silver from Ilī-dan; I received 3⅚ minas 5 shekels from Amur-Šamaš, 10½ mina from Dādiya; for 4 minas of silver that Enna-Suen owed to you I got 2½ minas as interest and 0½ mina as expenditures - in all I received 7 minas of silver from Enna-Suen; 0⅔ mina 8 shekels owed by Itūr-ilī, 1½ mina owed by Kukuwa, 5 minas owed by the man of Tumliya, 1 mina owed by Ušhata's son - total of your silver: 27½ minas 3 shekels that I received from your outstanding loans. Thereof I paid 10½ minas 5 shekels to Azu's firm; I made purchases for 3 minas of silver, and I have deposited textiles on your account in the colony office, and I have booked you for 5½ minas 7½ shekels in the colony; they made you pay 12 minas of silver, the complete fees, and I deducted 5½ mina 7½ shekels so they made me pay 6⅓ minas 2½ shekels of refined silver. I paid 3 minas to Ilī-bāni son of Yaya, and he produced the tablet concerning 5 minas sworn by the City; I gave 1 mina of silver as the transport tariff for 1 talent of silver transported by Šu-Ištar; 0½ mina I deposited for your 3 servants; I paid 0⅚ mina for 5 -textiles when I gave Šāt-Anna in marriage; I paid 23 shekels to Pilah-Aššur and 10 shekels of silver to Uṣur-ša-Aššur; I gave 4 shekels of silver as the transport tariff for the votive offerings I sent with Dan-Aššur to you; the rest of your silver: 1 mina 33½ shekels of silver; I gave that for small goods."
a-na a-šùr-iš-tí-kál i-ku-pí-a ù i-dí-a-bi-im qí-bi-ma um-ma en-um-a-šur-ma a-na i-ku-pí-a qí-bi-ma i-nu-mì a-na-kam tù-uš-bu 5 GÚ URUDU ma-sí-am SIG5 ša-bu-ra-am <gap>-ri-<gap> ah-bu-lá-kum ki-ma a-bi-a ta-ba-ší-ma ú-lá ú-ba-áš-kà-ma qá-at-kà ú-lá am-ha-aṣ a-na-kam PUZUR4-{d}UTU DUMU šu-nu-nu a-na 15 u4-me-e URUDU ša-qá-li-im tù-ša-zi-za-am-ma a-dí u4-mì-im a-nim URUDU mì-ma ú-lá iš-qú-lam ù i-na ma-ha-ar ṣú-ha-ri-kà-ma a-dí ha-am-ší-šu ú iš-ri-šu iš-tí-šu a ṣí-bi-it-ma ṣú-ha-ru-kà i-da-gu5-lu um-ma a-na-ku-ma URUDU PUZUR4-{d}UTU lu-ša-áš-qí-il5-ma gi-mì-lam i-ṣé-er a-wi-LAM lá-áš-ku-un-ma a ša a-na-ah-tí ša 2 ma-na KÙ.BABBAR a-da-nu-šu-ni ú a-ni-um lu gi5-mì-lam šu-a-tí-ma li-bu-šu-ma lu i-de8 a-na-kam PUZUR4-{d}UTU ú-ni-ha-ni-ma a-na kà-ri-im ir-dí-a-ni-ma KÙ.BABBAR 5 GÍN uš-ta-ag-me-ra-ni-ma ṭup-pá-am ša ší-bi-a al-té-qé ša i-na lá i-dí-im šu-um-kà IGI ṣa-he-er GAL a-<gap>,"To Aššuriš-tikal, Ikūn-pīya and Iddin-abum from Ennam-Aššur; specifically to Ikūn-pīya: When you stayed here I lent you 5 talents of washed, good, broken copper ... You are like a father to me, I shall not put you to shame and I have not refused you anything. Here you appointed Puzur-Šamaš son of Šu-Nūnu for me in order to pay the copper in 15 days, but until today he has not paid any copper to me. Also, in the presence of your own servants I have quarrelled with him five or ten times, and your servants observe this. I said: Let Puzur-Šamaš have the copper paid so I can do the man a favour, and since I shall give him the earnings from 2 minas of silver may this man indeed know about this favour"" Puzur-Šamaš has troubled me here, led me to the colony and put me to an expense of at least 5 shekels of silver, so I got hold of a tablet with my witnesses, stating that without reason he spoke your name ... before the plenary assembly. He said: ""What silver does Ikūn-pīya have as a claim on me"" I said: ""I have answered you. Therefore I have taken a tablet with witnesses ... if ... from the month ... To Ikūn-pīya: I was unhappy with respect to your goods that you gave to Adad-ṣulūlī and the son of Šu-Nūnu, so I wrote you. You must decide yourself about your goods. """
16 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er PUZUR4.IŠTAR DAM.GÀR i-šu iš-tù ITU.KAM kà-an-wa-ar-ta li-mì-im a-ku-tim a-na ITU.5.KAM i-ša-qal šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb i-na 2 (TÚG)ku-ta-ni qá-tum ša DAM.GÀR ša-ak-na-at IGI e-na-a-šur DUMU ú-sà-ri-a IGI e-na-sú-in DUMU en-nam-a-šur,"16 shekels of refined silver Puzur-Ištar owes to the creditor. Reckoned from month X, eponymy year of Akūtum, he will pay within 5 months. If he does not pay he will add interest in accordance with the regulation of the colony. The hand of the creditor rests on 2 -textiles. In the presence of Ennam-Aššur, son of Uṣāriya, of Ennam-Suen, son of Ennam-Aššur"
0.66666 ma-na 1 GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er IŠTAR-il5-šu a-šùr-DU10 i-šu iš-tù ha-muš-tim ša hu-ra-ṣa-nim ù a-šur-ma-lik 1.5 GÍN.TA a-na 1 ma-na-im i ITU.KAM ṣí-ib-tám ú-ṣa-áb KÙ.BABBAR a-šar a-mu-ru-šu a-lá-qé ITU.KAM ṣí-ip-im li-mu-um a-la-hu-um IGI da-dí-a IGI i-dí-a-bi4-im IGI a-šùr-{d}UTU-ši,"0⅔ mina 5 shekels of refined silver Ištar-ilšu, owes to Aššur-ṭāb, son of Elamma. From the week of hurāṣānum and Aššur-mālik, eponymy of Alī-ahum, son of Īnah-ilī, he will add 1½ shekel per mina as interest. I will take the silver wherever I see him."
ili5-ba-ni DUMU i-a-a ù a-bu-ša-lim ÌR i-na bu-ru-uš-ha-dim a-na ni-kà-sí ša-sá-im iṣ-bu-tù-ni-a-tí-ma um-ma ì-lí-ba-ni-ma a-na-ku ki-ma ša-lim-a-šùr al-kam i-na IGI a-we-li a-ni-ú-tim ší-sí ṭup-pí-šu-nu ša maš-kà-na-tim ma-ah-ri-ni iš-ku-nu-ma um-ma ili5-ba-ni-ma lu-qú-ut 5 GÚ KÙ.BABBAR ù e-li-iš a-we-lam tù-ús-ta-ri-ir ù i-na a-wa-tí-ma a-ni-tim pá-ni ṣa-al-mu-tim a-we-lam tù-uš-ta-ar-ší ni-kà-sí i-na ma-ah-ri-ni im-šu-hu-ma um-ma ili5-ba-ni-ma ma-lá-ma li-bi-kà ší-ta-kà-an um-ma a-bu-ša-lim-ma a-lá-an 40 ma-na KÙ.BABBAR mì-ma i-na li-bi-a ù-lá i-ší-tám um-ma ili5-ba-ni-ma a-ma i-na ṭup-pí-šu ša 5 GÚ KÙ.BABBAR ù e-li-iš la lá-pu-ta-kum a-bu-ša-lim i-ṣú-ra-tum ù-šé-ṣí-a-ma um-ma a-bu-ša-lim-ma a-ma lá i-ṣú-ra-tù-šu ša É a-am-ku-a-i-tim a-ha-at ru-ba-im ša-ša-sá-ma-i-im ù tí-ra-at e-kál-lim a-na-kam a-qú-ul-ší-na le-qé-a-ma a-tù-nu-ma ša-dí-na um-ma ili5-ba-ni-ma ša ni-iš a-lim{ki} ta-,"Ilī-bāni son of Yaya and the slave Abu-šalim seized us in Burušhaddum in order to settle accounts, and Ilī-bāni said: I act on behalf of Šalim-Aššur. Come on, settle with these men as witnesses."" They placed their tablets concerning deposits before us, and Ilī-bāni said: ""You cheated the boss for goods worth 5 talents of silver or more. Consequently, on this very matter you have made the boss very angry."" They took away the accounts in our presence, and Ilī-bāni said: ""Submit whatever you have in your possession."" Abu-šalim answered: ""Apart from 40 minas of silver there is nothing left in my possession."" Ilī-bāni said: ""Now, were goods worth 5 talents of silver or more not booked for you in his tablet""Abu-šalim produced -documents and said: ""Here, are they not his -documents from the house of the queen of Amkuwa, the sister of the king of Šašasama Also, I have listened to the orders of the palace here. Take them so that you yourselves can have them sold."" Ilī-bāni answered: ""I shall keep in mind what was sworn by the City, that the accounts have been removed and I have not settled anything."" Abu-šalim said: ""I shall go and clear myself with my master."" Ilī-bāni said: ""Give at least 0½ mina of gold for the girl's ears."" He answered: ""I have nothing available."" The plenary assembly of the Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger. Witnessed by Šu-Kūbum son of Aššur-idī, by Iddin-Ištar son of Aššur-idī; Suen-nādā son of Ennam-Aššur was our absent partner."""
