tablet_id,transliteration,translation,source_pdf
111. kt 94/k 1267,Lu-lu En-nu-um-B[e-l]um Pu-šu-ki-in Ša-ší-a En-urn-A -šur DUMU A-ni.í nim 1 A-la-hu-um DUMU Šu-ka-li-a 1-dí-Ku-bu-um DUMU -šur.r ma-lik 1 -šur D UMU .r gu?-ah 1-La-aŠ-ra-ni {d}EN.LfL.r ba-ni₁ DUMU Za-zaA-ba-šì-a DUMU dr Lì/i-ba-a DINGIR-na-da DUMU -šur-< na- > da Šu-in-/na-da mz-ma a-wi-lu a-ni-u-tum i-na pu-uh-ri-im i-na ka-ri-im Bu-ru-uš-ha-dim e. uš-bu-u um-ma r. šu-nu-ma U-Ší-na-lam ld ta-da-an,"Lulu, Ennam-Belum, Piisu-ken, Sasiya, Ennam-Assur son of Anninum, Ali-ahum son of Sukkalliya, Iddin-Kiibum son of Assur-malik, son of Aguwa, Il-asranni, Illil-bani son of Zaza, Abasiya son of Libbaya, Akuku, Tiir-Assur, Ili-nada son of Assur-nada, Suen-nada- all these men sat in the assembly in the Burushaddum colony, and they said: ""Do not sell a single textile to Usinalam!""",AKT 6a.pdf
112. kt 94/k 1684,[( ... )] DUMU š-ba-a-a,Ibaya's son,AKT 6a.pdf
113. kt 94/k 831,a-na Šal-rna-A -šur qi-bi4-ma um-ma diM-GAL-rna tup-pa-ka a-na-kam Šu-ŠŠtar -šur-ma-lik Šal-rna-A -šur zš-me-u-ma •v / um-ma šu-nu-ma v a-wa-tum a-ni-tum a-ma-Id ša tup-pi-šu ša iš-pu-ra-ni ke-na 1-šu-ri-ik i-na ma-ah-ri-/ni e-ta-u šu-ŠŠtar a-wa-tam i-šu um-ma šu-nu-ma Šu-Htar a-wa-šu li-i/₅-qlma a-na KA-ab DINGIR nu-NU -ri-id-ma tup-pa-am lu ni-dì-na-kum a-šu-mi ša DUMU š-ba-a u a-na Ši-bi4-ka ka-ra-am Ia r ša-a-lam 1 ru-ba-im ne-ru-ma r um-ma ru-ba-₁u-um-ma be-eš a-wa-tim li-li-kam-ma ld ta- <rna-> ha-ra i-nu-mi DUMU e. š-ba-a i-la-ka-ma -lam i-ma-hu-ru-ni i-nu-mi-šu u₄-me er-ša r. a-na Ši-bi4-ku-nu ta-e-ra-ma ka-ra-am La [ša-a]-lam a-na a-tu-nu-ma a-wi-lu-um be-el na-ru-qì-im u-šaJ ša-ha ₁-am a-na Ši-bi4-šu ka-ra-am i-ša-al i-nu-mi-šu -lu-um i-da-na-ku-nu-ti me-at 56 TUG 12 ma-na 18 GIN KB it-bu-lu 6 ANSE 5/6 ma-na 5 GIN KB it-bu-lu 30 1/3 ma-na AN.NA qa-tim 2 1/3 ma-na KB it-ba-al a-na 3 1/3 ma-na 5 GIN. T be-u-La-tu-šu-nu u 6 GIN KB lu-bu-šu-nu 2 112 ma-na 4 GIN KU.KI 61/3 GIN.TA <ta>-di-in e. SUNIGIN KB-pi-ka 24 ma-na u 1 ma-na KO.KI lu ša-du-a-tum lu u-nu-ut ANSE 10 ma-na 9 ma-na 4 1/3 GIN <a > -kum-ma a-ni-im Pì-la-ah-ŠŠtar,"To Salim-Assur from Adad-rabi: Here Su-IStar, Assur-malik and Salim-Assur heard your letter, and they said: ""This matter is correct as he wrote in the letter he sent: Issu-arik declared (such) in our presence."" Su-IStar raised the matter, and they said: ""Let Su-IStar have his case, so we led him to the Gate of the God, and we gave you a tablet."" Concerning the matter of Ibaya's son, and in order not to raise questions to the colony about your witnesses, we went in to the king, and the king said: ""Let the litigant come and do not confront (the assembly). When Ibaya's son arrives and they confront the City assembly, at that time demand terms. Rebuff (the mat- ter) with respect to your witnesses and turn (them) back to the City assembly so as not to ask questions of the colony, and then 'The man will extradite the owner of the joint-stock capitaL He will question the colony about his witnesses' - then the City assembly will give you (the right to a case)."" 156 textiles cost 12 minas 18 shekels of sil- ver; 6 black donkeys cost 55 shekels of sil- ver; 30 1/3 minas of expense tin cost 2 1/3 minas of silver; to the 3 harnessors 25 shek- els each as their working-capital, plus 6 shekels of silver for their clothes; 2 1/2 mi- nas 4 shekels of gold was sold at the rate 1:6 1/3 -the total of your silver: 24 minas plus 1 mina of gold. Both transport tariff and donkey harness was 10 minas; he brings 9 minas 4 1/3 shekels to you, and Pilah-IStar this ...",AKT 6a.pdf
114. kt 94/k 1701,"[a-na Ša-lim-]A-ršur₁ qi-bi-ma um-ma diM-GAL-ma [a-na-kam] Šu-ŠŠtar rA-šur-ma-lik [u ŠJa-lim-A-ršur₁ iš-me-u-ma um-ma šu-nu-/ma [a-w]a-tum a-ni-tum a-ma-ta: ša tup-ípi-šu] ša iš-pu-ra-ni : ke-n[ a] r Jl-š[ u]-ri-zt k] i-na ma-ah-ri-ni : e-tu-wu : Šu-[ ŠŠtar] a-wa-tdm : i-[šu] : um-m[a šu-nu-ma Šu-ŠŠtar a-wa-šu] li-i/₅-qi-a-ma: [a-na ba-ab DINGIR nu-ri-id-ma] tup-pa-am: lu [ni-dì-na-kum i-na tup-pí-ka [ ... ] lu -/a-ha-am u [ ... ] A-šur-ma-lik it[ ... ] DUMU Puzur4-Š[A.TU ... ] concerning u4-mt-im: iŠ-[tí-en ... ] DINGIR: tup-pa-[ ... ] 15 š-ba-a-a: a-n[a ... ] Ibaya' ne-nu-ma [a-wi-lum be-e/] We u-ša-ša-ha-am ... ] owner , r <, [ ] e- ... x 20 1 [ ..• ] x ma-n ]a K[B r. x x] ša DAM.[GAR ... X x x-]tu-ni-n[i ... ] x x] 4 1/3 GIN K[B ... ] ... x x] Sf-ti[ ... ] 5' lines broken away [x x KU].GI [ [x x] 1/3 ma-na[ ... ] 10' ... 1 ma-na[ ... ] me-[at] 56 TUG ku-t[a-nu 12 ma-na 18 GIN KB] els 6 ANSE 5/6 ma-na mina 5 GIN it-bu-lu] shekels 2/3 rma-na₁ KB 5 GIN rx₁ of [ ... ] qa-tim 2 1/3 [ma-na KB] 15' shekels a-na 3 ma-na 5 GIN T KB be-r u₁[la-tu- less šu-nu] 1/3 GIN KB a-na lu-bu-H-šu-nu mina ma-na LA 1 GIN KB ša-du-u-[tum] 1/3 GIN KB 20' minas ma-na 4 GIN KB lu u-nu-ut AN[SE] u-ku-ul-ta-aš-nu : SUNIGIN ma-na 4 1/3 GIN KB lu-qu-tam a-ni-tam Pl-la-ah-ŠŠtar e. [a-n]a DAM.GAR-ri-im: i-ra-de₈ [i-na KU.]GI-su : 1 ma-na i-ba-5í [x x x] 4 ma-na KB 5í-tìKB-pi-šu 4 5/6 I.e. ma-na 5 [ +x GIN] [x x] a-na 10 U4-me-e Ša-am-rna?: Ša X ma-la ta-be-[ [ x x šu Y -rna 1 lu-bu-šum u ra-qu-tum i-ba-5í: a-ša-a-[ am] [x x x] u ku-ta-nam SIG₅ a-ša-am-rna i[- a-ta-be-a-ma: a-t[a-la-kam]","To Salim-Assur from Adad-rabi: Here Su-IStar, Assur-malik and Salim- Assur heard (your letter), and they said: ""This matter is correct as he wrote about it in his letter. Issu-arik spoke (thus) with us as witnesses."" Su-IStar raised the matter and they said: ""Let Su-IStar take a lawsuit and we shall go down to the Gate of the God and give you a tablet."" in your letter ... both Ali-ahum and ... Assur-malik and ... Puzur-sadu'e's son ... one day ... the Gate of the God the tablet ... s son to ... said: ""The man will extradite the of a joint stock capital."" minas of silver ... belonging to a merchant ... 4 1/3 shekels of silver ... left 1/3 mina ... kutanu-textileš cost 12 minas 18 shek- of silver; 6 black donkeys cost 5/6 5 shekels; 1 2/3 mina of silver, 5 ... tin for expenses cost 2 1/3 mina silver; for 3 harnessors: 1/3 mina 5 each were their working capitals; 3 of silver for their clothes; x mina 1 shekel of silver: transport tariff; 8 shekels of silver: export duty; 1/3 4 shekels of silver: both harness for donkeys and their fodder - in all: 19 4 1/3 shekels of silver. Pilah-IStar leads these goods to the mer- chant. 1 mina of his gold is available. ... 4 minas of silver. The rest of his silver: 4 5/6 minas 5 + x shekels. buy in 10 days ... ... if clothes and a thin textile are available I shall buy it. I shall buy ... and a good kutiinu and ... I shall set out and leave.",AKT 6a.pdf
115. kt 94/k 840,"a-na Ša-lim-A -šur qi-bi-ma um-ma diM-GAL-rna: a-na tup-pi: a-šu-mi 1-dì-a-bi-im :ša ta-aš-pu-ra-ni -šur-ma-lik : u Ša-lim-A -šur aŠ-al-ma um-ma a-na-ku-ma : i-nu-mi 1-šu-ri-ik a-wa-tim :ša 1-di-a-bi-im : iš-d Me-ra-ni iš-d AH.ME ša ŠŠtar u E Za-ak-ta-a u a-li : ta-ad-mi-iq-tam i-di-nu-šu-ni a-wa-tim ig-mu-ru : i-nu-mi-šu-ma : KB ša ša-qa-lim : iŠ-qu-ul u 5í-tí KB tup-pi-Šu : u-ha-ri-mu : ša 1-dì-a-bu-um ha-bu-lu-ma : Šal-ma-A -šur : qa-ta-tu-ni um-ma šu-nu-ma : tup-pu-um : šu-um-šu u-ta ha-ri-/im KB u-še-bi-lam-ma : a-na a-wi-li ni-iŠ-qu-ul : um-ma šu-nu-ma ke-na 1-šu-ri-ik i-na ma-ah-ri-ni r e ₁-ta-wu-šu-um um-ma šu-ut-ma ha-bu-ul: a-hi-ka : lu a-na-kam : lu i-na GANA-lim šu-qu-ul-ma u a-lik-ma : i-na KB-ap a-hi-ka : le-qe: šu-ma [KB]-ap a-hi-ka ta-šu i-na na-ru-qì-ka : šu-qul: a-na a-wa-tim a-ni-a-tim : ša 1-šu-ri-ik : i-na ma-ah-ri-šu-nu e-ta-wu-ku-ni : u-še-ra-šu-nu-ma : KA DINGIR l / / / tup-pa-aš-nu , ,v a- a-qe : tup-pa-am : ša v qa-tí-ka iš-te-nu-um-ma: šal-tí-k[a (xú šja KISIB U-ku-a e. 2 ] h ' • u tap-pa-e-šu : u šz-n ? t a-a -št-tš-ta-an i-ba-H-a: ša rDUMU En ₁-na-nim tup-pa-am r. ni-iš-e-ma: la-šu: a-šu-mz DUMU š-ba-a-a -lu-um dì-nam i-ha-am-ri-im i-dì-in-ma : ma-ma-an : : u : tup-pa-am a-na ša-šu-hi-im : il5-qe-u: lu i-na i-mu-tu : ka-ru-um Ka-ni-iš di-in KB u KU.GI: i-di-a-an šu-ma a-wi-lum na-di-tam : i-za-kar a-[na] ka-ri-im : i-pa-te-ma : šu-ma : ša 3 [a-wa-ti]m a-na -lim{ki} : i-la-kam : šu-ma : La 3 a-wa-tim a-na -lim{ki} la i-ld-kam ša i-ld-ka-ni la i-ba- < La> -at :A -šur-ma-lik u Šal-ma-A -šur a-šu-mt v ' : u-tt-tt , , -šic -tm - : na-aš-pa-ar-tt ,v , , Ša-lim-A -šur: ta-aš-me-a : qi-bi-a-nim-ma ma-la: u-tu-tu-um r ša-ap-ka-at₁-/ni ti-ir-ti a-na a-wi-lim : li-li-ik um-ma šu-nu-ma a-ta : a-na u-ti-ti-im tu-ša-na-aq-ni-a-ti: ni-a-a-tu-ba ta-ad-mi-qd-tu-ni :a-li li-li-kam-ma : u-ta-ta-am ma-ma-an i-ta-ba-al : um-ma šu-nu-ma iš-tu: MU.5.SE a-na ti-ir-ti-šu e. i-ze-za-am : Ia ni-mu-a um-ma a-na-ku-ma : mi-šu : lu-mu-un li-bi4-ku-nu um-ma šu-nu-ma :a-ld-an : I.e. ta-ad-mi-qa-tim ša ni-di-nu-šu-ni : mi-ma ša-ni-a-am lu-mu-un li-bi-im La ni-šu-šu-um a-bi4 a-ta be-li a-ta : a-na šal-tim La ta-ša-ka-na-ni ša ti-ir-ti: a-di u4-mi-im : a-nim : ta i-li-ka-ku-ni um-ma a-na-ku-ma : mì-nam a-wa-tim ma-šu-ha-tim la-aš-pu_r ra ₁-šu-um 10 GIN KB : a-ma-kam : a-na be-a-li-im iq-bi-a-am : um-ma a-na-ku-ma : iš-ti Ša-lim-A -šur me-eh-ra-tim al-qe KB še-bi4-lam","To Salim-Assur from Adad-rabi: as to the tablets concerning Iddin-abum that you wrote to me about - I asked Assur-malik and Salim-Assur, saying: ""When Issu-arik cleared up Iddin-abum's affairs with Merani, with the !Star-priest and Zaktaya's firm, and where he gave him a free loan, at that time he paid what silver he could - and did they certify his tablets for the rest of the silver, stating that Iddin-abum owed it, and that Salim- Assur was the guarantor?"" They answered: ""No tablet at all was certi- fied. He sent us the silver and we paid the men. "" They continued: ""It is true that Issu-arik discussed with him in our presence and said: 'Pay the debt of your brother, both here and abroad, and then go and take it again out of your brother's silver. If there is no silver belonging to your brother, then pay out of your joint-stock capital.""' For these words which Issu-arik discussed with you in their presence I shall lead them off, and I shall receive a tablet with their statement in the Gate of the God. As to the tablet concerning your share, we opened BeLitum's house, and there is only a single tablet, and it concerned your funds and was sealed by Ukuwa and his partners. Also, 2 memoranda are present. As for Ennanum's son we searched for the tablet but it was not there. The City assembly has rendered a verdict in the sacred precinct concerning Ibaya's son, stating that whoever has hired an at- torney and received a tablet concerning extradition - in the City as well as abroad - their tablets are invalid. The Kanesh col- and gold. If a man makes a formal statement involv- ing a deposition, he must reveal it to the colony, and if it concerns the three words he must go to the City; if it does not in- volve the three words he must not come to the City; he who comes anyway will not live. I seized Assur-malik and Salim-Assur and said: ""You have heard the missive of Salim- Assur concerning grain. Speak up and send word to the man about how much grain has been stored."" They answered: ""Now you pressure us for the grain, but our own free loans, where are they?"" He may come and some- one will take away the grain. They continued: ""The last five years we have been unwilling to follow his orders."" I said: ""Why are you angry?"" They answered: ""Apart from the free loans that we gave to him we have no other quarrel with him."" My dear father, my dear lord- do not treat me harshly because word from me has not reached you until today! I said to myself: ""Why should I send in- sulting words to him?"" offered me 10 shekels of silver to dispose of there, but I said: ""I have re- ceived a similar amount from Salim- Assur."" So send me the money!",AKT 6a.pdf
116. kt 94/k 1300,wa-ak-lum-ma From ka-ri-im -lu-um dz-nam 5 GIS.KAK-en GAL-en front ha-am-ri-im precinct Ibaya DUMU š-ba-a-a ... ] DUMU r Jl[-šu-ri-ik] Salim-Assur (x)] r ri-im 1[. .. r. DUMU Ba-zi-a DUMU A-šur-i-dí Su-Kubum,"the waklum to the Kanesh colony: City assembly has passed a verdict in of the two great pegs in the sacred stating that Iddin-Suen son of may hire an attorney, and ... son of Issu-arik ... eponymy of IlSu-rabi son of Baziya. son of Assur-idi is my attorney.",AKT 6a.pdf
117. kt 94/k 1152,En-na-nim DUMU A-la-birim Sealed A-šur-na-da DUMU Ir-nu-id Assur-nada KISIB Ka-ta-tim DUMU Ma-la-ba KISIB Nu-ur-{d}EN.ZV DUMU drMVŠ₁-mu-ta-bìl KISIB 1-dì-Šu-in DUMU 1-ba-a-a e. ša Ša-lim-A -šur u 1-dì-Šu-in r. DUMU 1-ba-a-a: a-na a-wa-at tup-pì-im a-ni-im ni-iš -lim{ki} it-mu-u-ni-ma a-hu-um a-na a-hi-im La i-tu-ru,"by Ennanum son of Ali-abum, by son of Irnuid, by Katatum son of Malaba, by Nur-Suen son of Nirah- muttabbil, by Iddin-Suen son of Ibaya. Concerning Salim-Assur and Iddin-Suen son of Ibaya. They swore by the City con- cerning the words of this tablet, and no one must raise claim against the other.",AKT 6a.pdf
118. kt 94/k 1256,"1-di-Šu-in DUMU š-ba-a ša a-na Ša-lim-A -šur DUMU 1-šu-ŠVDx u e-hu-za-ni tup-pa-am ša -lim : a-na ša-šu-hi-šu il5-qe-a-ni: i-mì-ig-ru-ma ni-iš -lim{ki} i-na Ka-ni-iš it-mu-u 1-di-Šu-in ki-ma a-ha-ti-šu a-hi-šu u a-ha-at a-bi-šu 1-dì-Šu-in it-ma Ša-lim-A -šur a-na hu-bu-ul La i-tu-ar-šu-nu-ti a-na a-hi-im e. i-tu-ar a-na 15 other. a-ni-a-tim r. -lim it-mu-u Hu-bu-ur -la-hu-um En-na-nim DUMU A-La-bi-im 20 Witnessed Ar-nu-id son Ka-ta-tim DUMU Ma-La-ba muttabbil, Nu-ur-Šu-in son {d}MUŠ-mu-ta- <hi-> il/ 25 KISIB 1-dí-Šu-in 1-ba-a-a","Iddin-Suen son of Ibaya who had hired an attorney against Salim-Assur son of Issu- arik, and had received a tablet from the City assembly about his extradition - (those two) settled (their differences) and swore an oath by the City in Kanesh. Iddin-Suen swore on behalf of his sister, his brother and his father's sister. Salim-Assur must not raise claim against them for Ibaya's debt. two must not raise claim against each For this matter they swore the oath the City. Hubur, eponymy Ali-ahum. by Ennanum son of Ali-abum, Assur-nada son of Irnuid, by Katatum of Malaba, by Niir-Suen son of Nirah- and sealed by Iddin-Suen of Ibaya, the barber.",AKT 6a.pdf
119. kt 94/k 1262,"DUMU 1-ba-a-a Iddin-Suen a-na Ša-lim-A -šur attorney 1-šu-ŠUDx ra-bi-ṣa-am u tup-pa-am -lim{ki} a-na ša-šu-hi-šu i-m""i-ig-ru-ma A-lim{ki} i-na Ka-ni-iš 1-di-Šu-in a-ha-ti-Šu a-hi-šu a-ha-at a-bi-šu 1-di-Šu-in u Ša-lim-A -šur hu-bu-ul š-ba-a-a : a-na 1-di-Šu-in a-hi-šu : DUMU 1-ba-a-a i-tu-wa-ar-šu-nu-ti a-na a-hi-im e. i-tu-wa-ar a-wa-tim a-ni-a-tim r. -lim{ki} it-mu-u Hu-bu-ur li-mu-um DUMU 1-na-ah-DINGIR Še-ep-A-lim{ki} {d}MAR.TU-ba-ni DUMU Ma-na-na ṣi-lu-lu DUMU U-ku DUMU En-na-nim -šur-iŠ-ta-kal D UMU -šur-ŠIP En-nam-A-šur DUMU Me-ra-ni hu-bu-ul a-bi₄-šu u 3 113 ma-na Ša-lim-A -šur a-na 1-di-Šu-in 1-ba-a i-na ga-ma-ar i-ša-qal a-we-li a-ni-u-/tim e. a-ni-a-tum I.e.","son of Ibaya who had hired an against Salim-Assur son of Issu- arik, and had received a tablet from the City assembly about his extradition- (those two) settled (their differences) and swore an oath by the City in Kanesh. Iddin-Suen swore on behalf of his sister, his brother and his father's sister. And Salim-Assur must not ra1se claim against Iddin-Suen or his brother for the debt of their father Ibaya. The two must not raise claim against each other. For this matter they swore the oath by the City. Month Hubur, eponymy Ali-ahum son of Inah-ili. Witnessed by son of Sep-Alum, by Amurrum-bani son of Manana, by Siliilu son of Uku, by Atadiya son of Ennanum, by Assuris-takal son of Assur-re'i, by En- nam-Assur son of Merani, (by ... ) son of Nizum. Not only did he remove his father's debt, but Salim-Assur must pay 3 1/3 minas of silver to Iddin-Suen son of Ibaya for the settlement of the matter. This case was settled before these men.",AKT 6a.pdf
120. kt 94/k 813,"(hu-ur-ša-A -šur D UMU -šur-ma-lik : a-na E ""b ' / ' "" .I V -šur V u-še-rz- .I V/ u-nt-/ a-tz-ma .- -šur tam-ka-ru-šu : i-na ma-ah-ri-ni ip-tlu-ma tup-pi-šu ha-ru-mu-tim : i-na li-bi4 tup-pi-šu : tup-pa-am ha-ar-ma-am: ša 6 GU AN.NA ku-nu-ki ša -lim{ki} u 45 TUG ku-ta-/ni Ša-lim-A -šur :a-na -šur-i-dì DUMU Ša-da-a: i-da-an-rna 1 GU KB A-šur-i-dì a-na Ša-lim-A -šur i-ša-qal e. šu-ma -šur-i-dì D UMU Ša-da-a ld-šu: AN.NA u TUG r. a-na ša ki-ma :A -šur-i-dì Ša-lim-A -šur : i-da-an tup-pu-um ha-ar-mu-um :ša hu-bu-ul E -šur-i-dì .- i-na -šur DUMU A-šur-ma-lik: i-na li-bi4 tup-pi-šu : e-li-a-rna u a-na -šur-ma-lik D UMU -ld-hi-im ip-qì-du-šu : a-na a-wa-tim a-ni-a-tim .- ka-ru-um Ka-ne-eš i-dì-ni-a-tì-ma IGI GíR ša A-šur H-bu-ti-ni : ni-dì-in IGI -ta-ta DUMU Šu-Ku-bi4-im IGI Šu-A-šur DUMU šd-na-A-šur A-šur-GAL um-šu-um-/ma ša-li-iš-ni","son of Assur-malik seized us and led us into house, and his customers opened strong-room with us as witnesses, took out his certified tablets, and (selected) from his tablets one certified tablet stating that Salim-Assur shall give 6 talents of tin sealed in the City and 45 kutanu-textileš to Assur- idi son of Sadaya, and that Assur-idi shall pay 1 talent of refined silver to Salim-Assur; if Assur-idi son of Sadaya should be absent, Salim-Assur shall give the tin and the tex- tiles to Assur-idi's representatives. This certified tablet concerning Assur-idi's debt appeared in the house of son of Assur-malik among his tablets, and thereafter they entrusted it to Assur-malik son of Ali-ahum. The Kanesh colony gave us for these pro- ceedings and we gave our testimony before Assur's dagger. Witnessed by Atata son of Su-Kiibum, by Avv f dd"" vv Avv b"" S v u- ssur son o I m-Assur; ssur-ra was on that very day our third (witness part- ner).",AKT 6a.pdf
121. kt 94/k 725,"56 ma-na KB i-na KB-ap -šur-i-dí -šur uA-šur-DUG: a-na Ša-lim-A -šur : iš-qu-lu-ma 4 ma-na KB i-5í-tam-ma , vu'' VAV tup-pa-am : ša -šur u A-šur-DUG: Ša-lim-A-šur il5-pu-ut-ma: tup-pa-am ša GU KB ša hu-bu-ul a-na -šur u -šur_r DUG Ša ₁-lim-A -šur e. u-5í-ir: IGI -šur-i-mì-/tí r. DUMU A-ta-a: IGIA-da-da Adada DUMU diM-GAL 15 Puzur₄-Tí-a-am-tim tap-pa-i-ni :a-na a-wa-tim a-ni-a-tim : ka-ru-um ony Ka-ni-1J ṣa-be-er GAL gave i-dì-ni-a-tì-ma 20 IGI GfR ša A-šur tup-pa-am ni-di-in: A-da-d[a] Adada GfR ša _r šur 1 iṣ-ba-at-ma e. of š-ša-a DUMU Da-ga-ma-al-ki-im pl-Šu : iŠ-me 25","and Assur-tab have paid 56 minas of silver from Assur-idi's silver to Salim-Assur, but 4 minas of silver remain (unpaid), and Salim-Assur wrote a debt note for and Assur-tab and released the (old) tablet concerning 1 talent of silver, the debt of Assur-idi son of Sa- daya to and Assur-tab. Witnessed by Assur-imitti son of Ataya, by son of Adad-rabi; Puzur-Ti'amtum our (absent) partner. plenary assembly of the Kanesh col- gave us for these proceedings and we the tablet before Assur's dagger. seized Assur's dagger and Isaya son Dagan-malkum heard his statement.",AKT 6a.pdf
122. kt 94/k 820,"56 ma-na KB i-na KB-ap -šur-i-di DUMU Ša-ta-a: U-ṣu-ur-ša-A-šur uA-šur-DVG a-na Šal-ma-A-šur iš-qu-lu-ma 4 ma-na KB 5 i-H-ta-ma: tup-pa-am ša (í-ṣu-ur-ša-A -šur tablet uA-šur-DVG: Šal-ma-A-šur debt i/5-pu-ut-ma: tup-pa-am ša 1 GU KB e. ša hu-M,_u-ul A-šur-i-dz1 r. DUMU Ša-d[a-a] -sr DuG Šal-ma-A ur a-na -šur u] -štur u-5í-ir a-na a-wa-tim] a-ni-a-tim ka-r ru ₁-um has Ka-ni-iš: gave i-dí-ni-ma tup-pa-am IGI GIR ša A-šur a-dí-in IGIA-da-da 20 Witnessed A-šur-i-mz-tíDVMV A-ta-a Ataya u Puzur₄-Tí-a-am-tim e. sent) tap-pa-u-a","and Assur-tab have paid 56 minas of silver from the silver of Assur-idi son of Sadaya to Salim-Assur, but 4 minas of silver remain (unpaid) and Salim-Assur has written a debt note for and Assur-tab, and he has released the (old) concerning 1 talent of silver from the of Assur-idi son of Sadaya to Assur-tab plenary assembly of the Kanesh colony given me for these procedings and I a tablet before Assur's dagger. by Adada; Assur-imitti son of and Puzur-Ti'amtum were my (ab- partners.",AKT 6a.pdf
123. kt 94/k 7 43,"KISIB Puzur ₄-Tí-a-am-tim Sealed KISIB -šur-i-mz-tí DUMU -ta-a son KISIB -šur Assur-malik, DUMU A-šur-ma-lik Assur-!ab KISIB A-da-da DUMU diM-GAL 5 KISIB A-šur-DUG DUMU Ša-da-a ša 4 ma-na KB Concerning -šur Assuqab rul A-šur-DUG Ša-lim-A-šur Salim-Assur. [i-š1u-u iš-tit 10 Reckoned [ ha-mu-u ]Š-tim e. Assur [ša Ma-nu ]-ki-A -šur u 1-ku-nim : a-na they r 6₁ ha-am-ša-tim i-ša-qu-lu : šu-ma i-na ITU .KAM -im a-na ma-na-tm KB i-na qa-qa-ad : šal-mì-šu-nu ra-ki-iš","by Puzur-Ti'amtum, by Assur-imitti of Ataya, by son of by Adada son of Adad-rabi, by son of Sadaya. the fact that and owe 4 minas of refined silver to from the week of Mannu-ki- and Ikunum they must pay within weeks. If they have not paid (in time) will add interest at the rate 1 112 shekel per month per mina. They are jointly responsible for the silver.",AKT 6a.pdf
124. kt 94/k 921,"a-na Ša-lim-A-ršur₁ qí-bi-ma um-ma r En-nam ₁-A -šur-ma ša ki-ma ku-a-tí a.r na 1 :E.r tz₁ -ka e-ru-bu-ma tup-pí-ka ip-te-u-ma tup-pa-am ša hu-bu-ul -šur u rA-šur-DUG₁ u-š1e.L]i-u-ma a-na A-bu-a ni-ip-qì-[du] a-ma [ me-h ]ler-šu r Puzur ₄₁-Tí-a-am-tim [A-šur-i-mz-tt1 DUMU A-ta?-a-a [ ]-A -šur o break [A-]bu-a u ršz₁ [x x x]-ir A-šur-DUG DUMU Ša-da-[a xVha₁-am r l ,, k , l, . [ ] aš-ta-na-pa-ar-ma ,v , a- - am u- z- mu-a a-dì a-e-im u4-mz-im d-[(x)]dì-a-tu-šu u a-na qa-ba-im IGI ša ki-ma ku-a-ti 5' u-ta iš-hu-ut mz-nam ma-da-tim lu-ld-pì-ta-kum iŠ-tu u u-ta li-bi-im a-H-ra-am ni-ir-lta-H a-bi a-ta tì-ir-ta-ka za-ku-tum ša ki-ma [ku]-a-tì u šu-u[p-r ]a-[ am] a-ma-La d-ir-tì-ka [ l]e-p[ u-u ]S e. u ra-mz-ni r lu ₁-za-ki-[ rna] la-li-lkam-ma iŠ-ti-ka a-ma-kam la-az-ku 4 ma-na 3 GIN [ ... ] hu-ša-ri-im ša KB [ ... ] u ša En-na-num ku [ ... ] ša-du-at KB [ ... ]","To Salim-Assur from Ennam-Assur: Your representatives entered your house, opened for your tablets and took out the tablet concerning the debt of and Assur-tab and we entrusted it to Abuwa. Now, Oisten to) its copy: ""Puzur- Ti'amtum, Assur-imitti son of Ataya and ... Abuwa ... I keep writing Assur-tab son of Sadaya ... but he will not come. For how long ... and he was not afraid to speak before your representatives. Why should I write at length to you, that we are unhappy and have no one to care for us? My dear father, send a final report to your representatives and to me. I shall do what you order, and I shall clear myself and come so I can clear it with you. 4 minas 3 shekels ... lapis lazuli ... of Ennanum and ... the transport tariff for the silver ...",AKT 6a.pdf
