transliteration,translation,source
<PN>Ennum-Aššur</PN> rābiṣam u <PN>Al-aḫam</PN> epul umma <PN>Ennum-Aššur-ma</PN> ana <PN>Al-aḫim-ma</PN> mer'ū mētem nēnu lā ni-ip-ta-ar inūmi abūni ina ālem luqūtam ipqidakkunnima x ana ṣēr šazzuzātēšu <PN>Iddin-abim</PN> mer'a <PN>Aššur-rabi</PN> <PN>Itūr-ilī</PN> mer'a <PN>Amur-Ištar</PN> <PN>Ennānim</PN> mer'a <PN>Amriā</PN> <PN>Inaḫ-ilī</PN> mer'a <PN>Šu-Aššur</PN> iāti u kuāti qādēšunuma u nēnu šazzuztum ša <PN>Šalm-Aššur</PN> abīni u allān luqūtem annītem ša šēpīka mimma luqūtam <PN>Šalm-Aššur</PN> ula ušēbilam mala luqūtum annītam x ša <PN>Adā</PN> tušēli'ānima luqūtum šīt ina bētēšunu izkuanni libbi šazzuztī abīni u libbēni ide u miḫerni ana ālem ana ṣēr abīni ištu ūmem ša luqūtam tù-šé-li-a--ni illikšumma ina ālem ibašši ina luqūtem annītem qātē šazzuzat abīni itaddinū niā'ātemma mala luqūtam iāti i--šu-ru-ni-ni ana kaspam uta''erma kaspam ši'im,"Ennam-Aššur answered the attorney and Ali-ahum, and Ennam-Aššur said to Ali-ahum: We are inheritors. We have not (finished) checking. When our father in the City entrusted merchandise to you and (sent it) to his representatives - Iddin-abum son of Aššur-rabi, Itūr-ilī son of Amur-Ištar, Ennānum son of Amriya, Enah-ilī son of Šu-Aššur, myself and you together with them, in fact, we were the representation of Šalim-Aššur, our father - then apart from this merchandise transported by you, Šalim-Aššur did not send any other merchandise. Our father's agents and we knew how these goods - that you yourself brought up here - that these goods were cleared in their house. Also our answer went to the City, to our father, the very day you brought the goods up here, and it is in the City. A claim to these goods has been made by our father's agents. As you well know, it was for our sake that I converted to silver the goods they took care of for me, and I paid the silver, the proceeds from the goods, to our father's representatives and to you, and they have sent the silver under their seals to the City to our father. Also, I have impartial witnesses against you (plur.) as to who transported the silver. Do not obstruct me! Also, one year ago, even before the attorneys came up here, I pleaded with you, saying: ""Come! Let us confront 5 impartial investors with our father's agents to prove that for every shekel of silver that our father's agents checked us for in response to the missive from our father that Idnaya brought, for the silver, the proceeds from the goods and his outstanding claims, that we cleared with them while our father was alive, and a message from his agents and one from us went back to him in the City with his messenger Idnaya concerning how much silver was deposited with me and with you."" As for you, until this day you have refused a deal with me, and you are unwilling to arrange a meeting, and instead you keep writing to procure an attorney and a tablet of the City. I submit to the tablet of the City and the attorney of my lord. Come! It concerns your ... Let us arrange a meeting witnessed by this attorney with 5 investors in addition to the 4 who represent our father, and let the silver, the proceeds from the goods and the outstanding claims be recognized with them as witnesses, and let him deduct the silver deposits that will come to our father plus the expenses that he has paid, and let us pay the rest of the silver, as much as they will set down as owed by us, and let us go with the attorney and ... """,original
ana šu-(d)DUMU.ZI <PN>Elā(ya)</PN> <PN>Adida</PN> <PN>Lamassī</PN> u <PN>Ennam-Aššur</PN> qibima umma <PN>Ennam-Aššur</PN> u <PN>Al-aḫum-ma</PN> ina <GN>Durḫumit</GN> 40 bilat weri masi'am bûlātī ša abūni ezibu ummiānū ša abīni iṣṣabtū u sí-ište-ni uka'lu umma nēnuma allān weri anniem mimma bûlātī šaniam abūni ula ezib weri ana kaspam li-tù-ur-mā kaspam ana ālem lillikma luqūtum ištu ālem libbalktam-ma kaspam x x šu-ta-be-a- x x awīlū u-nu-ḫu aṣṣēr 40 bilat weri bûlātī ša abīni ukallu'ūni umma šunuma u ḫusāram ikribū ša abīkunu … lu ni-sú-ùḫ abbā'ūni bēlūni attunu awīlū ḫusāram ikribē ša abīni ana e-ṭá-ri-ni izzazzu iḫdamma ālam muḫrāma mala ikribū ša <GN>Aššur</GN> lā i--ḫa-li-qú-ni epšāma ṭuppam ša ālem liqeamma kīma ḫusāram ana kaspam iturūma adi … ikribū … uš-té-ru-bu u rābiṣam aḫ-za-nim-mā ište a--,"To Šu-Tammuzī, Elaya, Adida, Lamassī and Ennam-Aššur from Ennam-Aššur and Ali-ahum:In Durhumit our father's investors have seized 40 talents of washed copper, assets that our father left; they also detain us. We said: Apart from this copper our father left no other assets. Have the copper converted to silver and let the silver go to the City, and then let goods be transported from the City so you may be paid in full in silver.""... the men make trouble ... Not only do they hold the 40 talents of copper, our father's assets, but they say: ""Let us also take away the lapis lazuli, your father's votive offering."" Our dear fathers and lords, the men are ready to remove the lapis lazuli, our father's votive offering from us. Take care to confront the City and act so that the votive offerings for Aššur are not lost, get a tablet from the City stating that the lapis lazuli must be converted to silver and until the votive offerings are brought in ... Also, hire an attorney and have him leave together with Aluwa and save our lives. For these votive offerings our father died.""",original
25 ṣubātem <PN>Ikūnum</PN> mer'a <PN>Ilī-ellat</PN> 23 ṣubātem <PN>Issu-rīk</PN> 20 ṣubātem <PN>Butqum</PN> 17 ṣubātem <PN>Šu-Laban</PN> mer'a <PN>Amur-ilī</PN> 7 ṣubātem <PN>Anum-ilī</PN> 8 ṣubātem <PN>Aššur-mālik</PN> mer'a <PN>Banaga</PN> 20 ṣubātem <PN>Elamma</PN> mer'a <PN>Ikūnim</PN> ištēniš 1 mi'at 20 ṣubātem ellat <PN>Ikūnim</PN> mer'a <PN>Ilī-ellat</PN> warke ellat <PN>Puzur-ilī</PN> ilaqqeū,25 textiles: Ikūnum son of Ilī-ellat; 23 textiles: Issu-arik; 20 textiles: Butqum; 17 textiles: Šu-Laban son of Amur-ilī; 7 textiles: Anum-ilī; 8 textiles: Aššur-malik son of Panaka; 20 textiles: Elamma son of Ikūnum - in all 120 textiles in the caravan of Ikūnum son of Ilī-ellat. After the caravan of Puzur-ilī (has come) they will receive them.,original
ana <PN>Alulā</PN> <PN>Dān-Aššur</PN> u <PN>Lāqēp</PN> qibima umma <PN>Ennum-Aššur-ma</PN> 1½ <PN>Mana</PN> kaspam ṣarrupam 3⅙ šiqil ḫurāṣum ša abnīšu kunukkīa 20 emmerū 1 GU₄.ḪI.A u 1 ṣubram mimma anniem <PN>Šalim-bēlī</PN> u <PN>Evari-muža</PN> iraddeakkunūti kaspam ište amtīa kunukkūa libši u emmerī u alpam dinamma kasapšunu lu šaliṭ 1 <PN>Mana</PN> 15 šiqil kaspam u ṣibassu ište <PN>Ennānim</PN> mušarriDim 3 bilat 35 <PN>Mana</PN> weri masi'um ište <PN>Bēliā</PN> ⅔ <PN>Mana</PN> 5 šiqil kaspam ište <PN>Ḫadaḫšu</PN> 10 šiqil ište <PN>Ilališka</PN> <PN>Nab-aḫum</PN> aḫḫūa attunu ūmūšunu etatqu kaspam šašqilaššunu 9 šiqil kaspam ište <PN>Šu-Ištar</PN> niā'em ša kīma <PN>Ṣilli-abum</PN> kaspam ištu <GN>Ḫanaknak</GN> uštēbilam i- kunukkīšu libši ša 1½ šiqil kaspam saḫertam lilqeūnem,"To Alulaya, Dan-Aššur and Lā-qēp from Ennam-Aššur: 1½ mina of refined silver, 3⅙ shekels of gold dust under my seal, 20 sheep, 1 ox and one slave - all this Šalim-bēlī and Ewarimuša lead to you. Let the silver stay with my maid under my seal, but sell the sheep and the ox, and the silver for them should be available. 1 mina 15 shekels of silver plus its interest is owed by Ennānum, the ; 3 talents 35 minas of washed copper is owed by Bēliya; ⅔ mina 5 shekels of silver is owed by hatahšu; 10 shekels is owed by Ilališkan, the smith. My dear brothers, their terms are overdue. Make them pay the silver. 9 shekels of silver is owed by our own Šu-Ištar, Ṣill-abum's representative; he has sent me the silver from hanaknak. Let it stay under his seal. Let them take small goods worth 1½ shekels of silver. ",original
⅓ <PN>Mana</PN> 5 šiqil kaspam ši'im amtem <PN>Peruwa</PN> ḫabbul ana ḫarpē išaqqal,"Peruwa owes ⅓ mina 5 shekels of silver, the price of a slave-girl.",original
kunuk <PN>Zigigi</PN> mer'a <PN>Ilī-dān</PN> kunuk <PN>Šalm-Aššur</PN> mer'a <PN>Uzuwa</PN> kunuk <PN>Puzur-Ištar</PN> mer'a <PN>Idnāya</PN> ⅓ <PN>Mana</PN> 5 šiqil kaspam ṣarrupam be'ūlātim ša <PN>Elamma</PN> <PN>Puzur-Ištar</PN> mer'a <PN>Idnāya</PN> ilqe ište kaspam ukta''al kaspam utârma u ittallak <PN>Šuma</PN> ayyēma udappir e-ga-ar-mā igrē sāridem umalla 2 šiqil kaspam lubūšū ilqe,"Seal of Ziqiqi, son of Ilī-dān, seal of Šalim-Aššur, son of Uzua, seal of Puzur-Ištar, son of Idnāya. 25 shekels of refined silver, a working capital belonging to Elamma, Puzur-Ištar, son of Idnāya, has received; with the [silver he is held. When he returns the silver he can leave. If goes somewhere else I will rent somebody and the wages of the donkey-driver he shall compensate. Two shekels of silver, his clothing allowance, he has received.",original
[...] kunukkēni x 15⅓ šiqil kasapšu 45⅓ <PN>Mana</PN> 1 šiqil 50 <PN>Mana</PN> annukum qātem 13 šiqil KÙ.BE 3⅚ <PN>Mana</PN> x šiqil 5 emārum ṣallāmū 1⅔ <PN>Mana</PN> kaspam itbulu 12½ šiqil unūssunu … ana 1½ sāridē x 1 <PN>Mana</PN> 12 šiqil kaspam ana beālem niddin 5 šiqil kaspam ana lubūšīšunu niddin 45 ṣubātem 3⅚ <PN>Mana</PN> 3 šiqil itbulu ina qerbemma 20 ṣubātem ša liwītem 25 ṣubātem eliātum 1 <PN>Mana</PN> 14 šiqil x dinma … ana <PN>Pilaḫ-Ištar</PN> niddin ½ <PN>Mana</PN> x-x-x waṣītum 5 šiqil i- masā'im imṭi x x x ša sa'etem … x x GÚ.TA …,... under our seals; at the rate of 15⅓ to 1: in silver 45⅓ minas 1 shekel;,original
kunuk <PN>Ennānim</PN> mer'a <PN>Al-abim</PN> kunuk <PN>Dān-Aššur</PN> mer'a <PN>Irnuit</PN> kunuk <PN>Buzua</PN> mer'a <PN>Aššur-ṭāb</PN> kunuk <PN>Aduda</PN> mer'a <PN>Zuā</PN> ša 7 <PN>Mana</PN> 7 šiqil annukum ša niplātem ša <PN>Kuzīya</PN> ana elletem ḫabbulu annukum <PN>Dān-Aššur</PN> išqul 7 šiqil 1 <PN>Mana</PN> 10 šiqil kaspam ṣarrupam ina kasap <PN>Imdī-dān</PN> ište <PN>Šalm-Aššur</PN> <PN>Dān-Aššur</PN> ilqe <PN>Šuma</PN> ša kīma <PN>Imdī-dān</PN> u <PN>Kuzīya</PN> ana <PN>Šalm-Aššur</PN> ana 7 <PN>Mana</PN> 7 šiqil annukum itūru <PN>Dān-Aššur</PN> mer'a <PN>Irnuit</PN> ubbabšu warḫem ša sarrātem līmum <PN>Iddin-abum</PN>,"Sealed by Ennānum son of Ali-abum, by Dan-Aššur son of Irnuid, by Buzuwa son of Aššur-ṭāb, by Aduda son of Zuwa. Concerning the 7 minas 7 shekels of tin from the balance payment that Kuziya owes to the caravan - Dan-Aššur has paid the tin. Reckoned at the rate 1:7 Dan-Aššur has received 1 mina 10 shekels of refined silver from Imdī-dan's silver from Šalim-Aššur. If Imdī-dan's representatives and Kuziya claim the 7 minas 7 shekels of tin from Šalim-Aššur, Dan-Aššur son of Irnuid will clear him. Month Ša-sarrātim, eponymy Iddin-abum. ",original
ana <PN>Lulu</PN> <PN>Ennum-Aššur</PN> u <PN>Abu-šalim</PN> qibima umma <PN>Aššur-ṭāb-ma</PN> ašammema <PN>Aššur-ṭāb</PN> lā libbi illīma me'et abbā'ūa bēlūa attunu ina šamši ṭuppī tašammeāni luqūtam lu panītam lu ur-ište-tám zakki'amma kunkāma ište paniemma <PN>Abu-šalim</PN> ṭurdānim <PN>Šuma</PN> weri mimma aḫḫur batiq u wattur dinamma abkānim mimma kaspam 1 šiqil ammākam lā ikalla,"Say to Lullu, Ennam-Aššur and Abu-šalim thus Aššur-ṭāb: I hear that Aššur-ṭāb has unfortunately died. Please my fathers and lords, the very day you hear my letter you must clear both the earlier and the later merchandise and put it under seal and send Abu-šalim here with the first opportunity. If any copper is still unsold, sell it at any price and ship it(s yield) here. Not a single shekel of silver must be retained there!""""",original
umma a--xxx ana <PN>Libbā</PN> qibima luqūtī šalmat u anāku šalmāku tašpuram umma attāma 1 bilat 30 <PN>Mana</PN> kaspam ezib mišlam alqe mišlam ḫalāq,"Thus A[... ... ... ... ... ...], say to Libaya: My merchandise is safe, and I myself am also well. You wrote me as follows: 'I left behind 1½ talent of silver'. Half of it I collected, half of it is lost.""""",original
kunuk kārem <GN>Kaneš</GN> ana <PN>Kulīya</PN> šaqil dātem šiprīni kār kārma ale <PN>Sukkallīya</PN> mer'a <PN>Aššuriš-tikal</PN> wašbūni ṣaḫer rabiem,"Seal of  Kanesh. To Kuliya, the-payer, our messenger, to every single , wherever Sukkaliya, son of Aššuriš-tikal is staying, small and big.",original
<PN>Šu-Ištar</PN> ana <PN>Puzur-Aššur</PN> mer'a <PN>Itūr-ilī</PN> iṣbatniātima umma <PN>Šu-Ištarma</PN> ana <PN>Puzur-Aššur-ma</PN> 4 šiqil ḫurāṣum ša <PN>Šāt-Aššur</PN> ḫabbulātini damiqtam watar umma <PN>Puzur-Aššur-ma</PN> kēna ḫabbulāku ašaqqal <PN>Ṣilūlu</PN> u <PN>Dadā</PN> mer'a ub-ra-e-im maḫar šugariā'em ša <GN>Aššur</GN> ṭuppušunu idīnū šu-… mer'a <PN>Izizzam-ilī</PN> u <PN>Abiā</PN> mer'a <PN>Adā</PN> a- pāšunu išmeū,"Šu-Ištar seized us against Puzur-Aššur, the son of Itūr-ilī, and Šu-Ištar said to Puzur-Aššur: The 4 shekels of gold, which you owe <to>? Šāt-Aššur are of very good quality!"" Puzur-Aššur answered: ""Indeed, I owe it, I will pay."" Ṣilulu and Dadaya, son of the man from Ubra?. gave their ta[blet] before the .-emblem of Aššur. Šu-[], son of Izizam-ilī and Abiya, son of Ataya, heard their statement.""",original
⅔ <PN>Mana</PN> 3 šiqil ḫurāṣum ša <PN>Ibnā</PN> īšuni nisḫātīšu niddinma ⅔ <PN>Mana</PN> ⅔ šiqil ḫurāṣum niša''amma 7⅔ šiqil kasapšu 5 <PN>Mana</PN> 11⅚ šiqil 4 <PN>Mana</PN> lā 4 šiqil kaspam ša ṣubātem u annukum alqema šîttē kaspīšu 1 <PN>Mana</PN> 15⅚ šiqil kaspam a- ša kīma šuāti addima išaqqalam,"For the 43 shekels of gold, [which] Ibnaya has in his possession, we paid the import-tax on it and the (remaining) 40⅔ shekels of gold we bought and at 7⅔ shekels (of silver) per (shekel of gold); its (equivalent) in silver was 5 minas 11⅚  shekels. 3 minas 56 shekels of silver I took for textiles and tin and the rest of his silver, 1 mina 15",original
2 šiqil ḫurāṣum iṣṣēr <PN>Iddin-abim</PN> mer'a <PN>Šu-Ištar</PN> <PN>Al-aḫum</PN> īšu ištu warḫem <PN>Ḫubur</PN> ana warḫēn išaqqal <PN>Šuma</PN> lā išqul kīma awāt kārem ṣibtam uṣṣab līmum <PN>Ṣilūlu</PN> maḫar <PN>Elāli</PN> mer'a <PN>Ippilis</PN> maḫar <PN>Bisā</PN> maḫar <PN>Bēlum-bānī</PN> mer'a <PN>Aššur-bēl-awātim</PN>,"Iddin-abum son of Šu-Ištar owes 2 shekels of gold to Ali-ahum. Reckoned from the month huburhe will pay in 2 months. If he has not paid in time, he will add interest according to the rule of the colony. Eponym: Ṣilulu. Witnessed by Elāli son of Ippilis, by Bisaya, by Bēlum-bāni son of Aššur-bēl-awātim.",original
umma <PN>Ilī-dān-ma</PN> ana <PN>Ennam-Aššur</PN> qibima x x x x ana <PN>Erra-iddin</PN> x x x ṣubātem x <PN>Šuzuzu</PN> mer'a <PN>Erra-iddin</PN> x x x mā ṣubātem x x x-nu kaspam mala taš'umu ana <PN>Šuzuzu</PN> dēn ṣubātem ša <PN>šarrum-Adad</PN> naš'ūni ina qerbemma 2 ṣubātem ana <PN>Aššur-imittī</PN> mer'a <PN>Amur-ilī</PN> iā'ūtum ana damiqtem kankū 3⅓ ṣubātū kuāti kankū 1 ṣubātem paniam ša kuāti addinakkunni u anniūtem batiq u wattur dinma ši'imšunu šēbilam ina emārum ša <PN>šarrum-Adad</PN> 1 emārum iā'um u ša <PN>Aššur-imittī</PN> ana še'em ša pa'ē addinakkunni kaspam šēbilamma še'am laš'amakkum u ašar i--ša-pu-ku waddi,"From Ilī-dan to Ennam-Aššur: ... for Erradi ... textiles Šu-Zuzu son of Erradi ... The textiles ... Give what silver you have bought to Šu-Zuzu. As to the textiles that Šar-Adad brings, of those 2 textiles for Aššur-imittī son of Amur-ilī, belonging to me, have been sealed as a favour. 3⅓ textiles have been sealed for you. 1 previous textile that I gave to you plus these - sell them for any price and send me the proceeds. Of the donkeys of Šar-Adad 1 donkey belongs to me and to Aššur-imittī. With respect to the grain that I promised you, send me silver so I can buy grain for you, and explain where it is stored.",original
ana <PN>Al-aḫim</PN> qibima umma <PN>Puzur-Aššur-ma</PN> 48 kutānē damqūtum 2 ṣubātem ša qātem 2 bilat 10 <PN>Mana</PN> annukum kunnukī 18½ <PN>Mana</PN> annukum qātem 2 ṣubātem ša <PN>Aššur-bēl-awātim</PN> 3 emārum ṣallāmū mimma anniem araddiakkum sāridam adi <GN>Ḫaḫḫim</GN> ana 17 šiqil kaspam agur ½ <PN>Mana</PN> weri ana panīa šēbilam ištên ina ṣuḫārēka ana panīa ṭurdam aḫī <PN>Adā</PN> bēlī <PN>Adā</PN> tîrtaka lillikamma uznī pete <PN>Šuma</PN> lā <PN>Al-aḫum</PN> mer'a <PN>Dudiki</PN> <PN>Maman</PN> ula ideu šūtma ṭuppam naši,"To Ali-ahum from Puzur-Aššur: 48 good -textiles, 2 ordinary textiles, 2 talents 10 minas of sealed tin, 18½ minas of expense-tin, 2 textiles belonging to Aššur-bēl-awātim, 3 black donkeys - all this I lead to you. I rented a driver until hahhum for 17 shekels of silver. Send ½ mina of copper to me. Send one of your servants before (I come). My dear brother and lord, send me word to inform me. They do not know anyone other than Ali-ahum son of Dudiki. It is he who brings the tablet.",original
umma <PN>Itūr-ilī-ma</PN> ana <PN>Ennum-Aššur</PN> qibima 5 bilat weri mas'am x x-bi₄ šaniam ina ḫarrānīa šāmā ammākam linnidi ina … e-mā-… u-šé-ra-a--mā i--ta-pu-lu-ni-šu,"From Itūr-ilī to Ennam-Aššur: Buy 5 talents of washed copper ... another ... on my journey, and let it be deposited there. ... I shall release, and they will balance it with him.",original
umma <PN>Šalim-Aššur-ma</PN> ana <PN>Iddin-abim</PN> <PN>Itūr-ilī</PN> <PN>Ennānim</PN> <PN>Inaḫ-ilī</PN> u <PN>Ennum-Aššur-ma</PN> adi ša tašpurāninni umma attunuma ana kārem erbāma bētka aššurma u ište me-er-e-kà zu-ku-mā qaqqadka lā ta-ta-na-dí kīma ṣuḫārū'ā adi ūmem anniem iš-lu-ṭù-ni-mā aṣṣēr <PN>Damiq-pī-Aššur</PN> lā e-tí-qú-ni-mā luqūtī ana kaspam lā u-ta-e-ru-ni a- šiāti libbi imraṣma kīma ṣubātē sāsam ilputu umma anākuma ište luqūtīa lērubma bûlātēa lupaḫḫerma u kaspam 10 <PN>Mana</PN> ša qarrubim iṣṣēr tamkārīa lalqe ana <GN>Kaneš</GN> i- bûlātēa lērubam aḫḫūa attunu adi ša azakku ammākam ište ša kīma mer'ē ummiānem ša ammākam wašbūni awīlē ina awâtem maqitamma pīšunu li-im-dá-nim-mā ūmē ša šakānim liškunūnimma ana kārem qá-ri-ba-ni i--be-sa-e u mānaḫtī šunuma ideu u balum ummiānīa,"From Šalim-Aššur to Iddin-abum, Itūr-ilī, Ennānum, Enah-ilī and Ennam-Aššur: As to what you wrote to me about, saying: Enter the colony and bring your house in order, and then, clear the affairs with your sons and do not hang your head all the time."" Since my servants have acted high-handedly until this day and have not travelled to Damiq-pī-Aššur, and have not converted my goods to silver - for that reason I became worried, and since my textiles are infested with moths, I thought: ""Let me enter with my goods and collect my assets, so that I may receive some 10 minas of silver that may be collected from my customers. Let me enter Kanesh with my assets."" My dear brothers, until I clear myself, you there - together with the representatives of the affiliated traders who are staying there - should pester the men for the case, learn what they have to say and let them set the terms that are possible for them, and make me approach the colony. They know the losses and the maintenance, but without permission from my investors Ilī-ālum, Šu-Kūbum, Aššur-malik and Amur-Ištar's son I cannot leave to go overland. They say: ""Leave, we shall settle your matter ourselves with Lā-qēpum, and then send you word, so you yourself can collect your assets and then we shall set the terms for you as best we can."" My dear brothers, the men are favourable towards us. Pester them there for the case that I may clear myself, and then send word to me personally and give me encouragement. Keep an eye there on my servants just as you have done thus far, and let them assemble every last shekel of silver from my outstanding loans. Take care and encourage me and show me the eyes of the colony and your own eyes.""",original
awâtūšunu ša <PN>Šalm-Aššur</PN> <PN>Šu-Bēlum</PN> kīma aššat <PN>Issu-rīk</PN> mer'at <PN>Issu-rīk</PN> u mer'at <PN>Iddin-abim</PN> rābiṣum u <PN>Šu-Bēlum</PN> ište <PN>Šalim-Aššur</PN> nīš ālem itmu'ūma awâtūšunu gamrā [...] u aḫūšu illukūnima <PN>Šalim-Aššur</PN> ana luqūtem annukum u ṣubātem <PN>Šalim-Aššur</PN> u-kà-nu-ni <PN>Aššur-taklāku</PN> rābiṣum ana luqūtem annītem <PN>Šu-Bēlum</PN> aššat <PN>Issu-rīk</PN> mer'at <PN>Issu-rīk</PN> u mer'at <PN>Iddin-abim</PN> ana <PN>Šalim-Aššur</PN> <PN>Šu-Kūbim</PN> u aḫīšu ula itūru <PN>Šuma</PN> itūru <PN>Šu-Bēlum</PN> u rābiṣum u-bu-bu-šu-nu maḫar <PN>Amurrum-bānī</PN> maḫar <PN>Aššur-idī</PN> maḫar <PN>Šu-Kūbim</PN> maḫar <PN>Šumma-libbi-Aššur</PN>,"Their case concerning Šalim-Aššur - Šu-Bēlum for the wife of Issu-arik, the daughter of Issu-arik and the daughter of Iddin-abum, the attorney and Šu-Bēlum (on his own) swore an oath on the City with Šalim-Aššur and their case was concluded. ... Šu-Kūbum and his brother will come and confirm Šalim-Aššur for the goods, the tin and textiles. Aššur-taklāku was the attorney. Šu-Bēlum, the wife of Issu-arik, the daughter of Issu-arik and the daughter of Iddin-abum must not raise claim to these goods against Šalim-Aššur, Šu-Kūbum or his brother. If they do raise claim, Šu-Bēlum and the attorney will clear them. Witnessed by Amurrum-bāni, by Aššur-idī, by Šu-Kūbum, by Šumma-libbi-Aššur.",original
[...] mā i- mer'ēa bētē <PN>Maman</PN> išdam <PN>Lamassī</PN> i- qerbem tuššab <PN>Šuma</PN> bētē tamkārum lā ittiddin i- bētem ša lā-mā-… [...],"... why, someone from among my sons bought the house. Lamassī lives in it. ",original
ana <PN>Al-aḫim</PN> qibima umma <PN>Amur-Ištar-ma</PN> 9 bilat 17 <PN>Mana</PN> weri qātē abīni <PN>Aššuriš-takil</PN> bētum kārem imḫur anāku ša tušaḫizīni umma attāma weri qātē abīni ana weri damiqtam li-tù-ur-mā iṣṣēr mer'a ummiānem idi lāma weri ina bētum kārem uṣ'anni iš xx <PN>Mana</PN> awâtum i--x-x-iš-mā 10 bilat weri lammunam qātē abīni bētum <PN>Aššuriš-takil</PN> ilaqqema ru-bu-a--u-mā 2 bilat 30 <PN>Mana</PN> weri damiqtam x ṭuppušu alput weri damiqtam x ana 40 ḫamšātem išaqqal u 2 <PN>Mana</PN> kaspam ša <PN>Bēlum-bānī</PN> i- libbi <PN>Annina</PN> aṣbatma u 2 <PN>Mana</PN> kaspam ša aṣbutu aṣṣēr ṭuppīšu uṭaḫḫima ṭuppušu ša kaspam u weri damiqtam alput kaspam u weri ana 40 ḫamšātem išaqqal ina 9 bilat 17 <PN>Mana</PN> weri weri qātē abīni <PN>Aššuriš-takil</PN> im-ḫu-ru-u ina qerbemma 4 bilat 37 <PN>Mana</PN> weri lammunam ana mala namgurāninni <PN>Annina</PN> ilqe šîttē weriem <PN>Amurrum-ta-sí-iḫ</PN> laqā'am lā,"To Ali-ahum from Amur-Ištar: Aššuriš-takil recieved 9 talents 17 minas of copper, our father's share, in the office of the colony. As for me, you gave me instructions, saying: the copper from our father's share should be converted to good copper and give it on credit to an affiliated trader."" Before the copper left the office of the colony, ... minas ... a matter, and he will recieve 10 talents of bad copper, our fathers share, in Aššuriš-takil's house, and at one to four I wrote his tablet for 2 talents 30 minas of good copper. He will pay the good copper in 40 weeks. Also, I seized 2 minas of silver belonging to Bēlum-bāni from Annina, and then I added the 2 minas of silver that I seized to his tablet and wrote his tablet concerning the silver and good copper. He is to pay the silver and the copper in 40 weeks. Of the 9 talents 17 minas of copper, the copper from our father's share, (that) Aššuriš-takil recieved, thereof Annina took 4 talents 37 minas of bad copper in accordance with our agreement. He looked down on the rest of your copper; he will not take it. According to agreement he shall not treat the copper of our father's share, that came out of Aššuriš-takil's house, with disdain. When he was about to leave ... and they refused to take it and he has left for Kanesh. Instruct him there so that 4 talents 30 minas of bad copper that is in Iddin-Aššur's house ... bad copper ... Give him there either tin or a textile and let his tablet concerning 2 talents 30 minas of good copper indeed be his (valid) tablet.""",original
x 5 šiqil annukum ana nabrītem ša emārē u <PN>Ḫarla</PN> ina rāminīa ašqul 12 šiqil annukum 3 šiqil kaspam 4 <PN>Mana</PN> weri 70 siparrātem ana qātē <PN>Šēp-Ištar</PN> <PN>Šalim-wardī</PN> <PN>Adin</PN>,x + 5 shekels of tin for the paddock for the donkeys and (for) harla I paid myself.,original
5 <PN>Mana</PN> kaspam ṣarrupum ina ši'im šāpātem ša <PN>Ušinalam</PN> <PN>Puzur-šaduē</PN> mer'a <PN>Lāqēp</PN> ilqe maḫar <PN>Aššur-rabi</PN> mer'a <PN>Mannum-šumšu</PN> maḫar <PN>Enna-Suen</PN> mer'a <PN>Iddin-abim</PN> maḫar <PN>Iddi(n)-Aššur</PN> bu du u,"Puzur-šadu'e son of Lā-qēp has received 5 minas of refined silver from the proceeds of Ušinalam's wool. Witnessed by Aššur-rabi son of Mannum-šumšu, by Enna-Suen son of Iddin-abum, by Iddin-Aššur.",original
ana <PN>Ennam-Aššur</PN> u <PN>Al-aḫim</PN> qibima umma <PN>Damiq-pī-Aššur-ma</PN> aḫḫūa attunu adi mala u šinēšu tîrtī illikakkunūti ina ṣubātē ša tamkārem ṣubātū anḫūtum ibaššiu iḫidma x-x milik ṣubātem milkā 1 ṣubātem damiqtam <PN>Alua</PN> naš'akkunūti ammākam ište ši'im annikīa kaspam šēbilānemma gimlanni,"To Ennam-Aššur and Ali-ahum from Damiq-pī-Aššur: My dear brothers, once or twice I have sent word to you. Among the textiles belonging to the merchant there are some old textiles. Do take a decision concerning the goods. Aluwa is bringing you 1 fine textile. There you should send me silver together with the proceeds from my tin, thus doing me a favour. ",original
ana 17 kutānē ša ina <GN>Badna</GN> ḫalqūni 1⅓ manā annukum ellutum u-mā-li-ni-a--tí ša laqā'em <PN>Kura</PN> il-ta-qé ⅓ <PN>Mana</PN> kaspam be'ūlātēšu <PN>Kura</PN> ina ālem ilqe ½ <PN>Mana</PN> kaspam ana panīšu <PN>Aššur-mālik</PN> ušēbil ina luqūtem ša šēp <PN>Kurub-Ištar</PN> 2 bilat annukum u liwīssu 15 kutānē 2 emārū ṣallāmē <PN>Kurub-Ištar</PN> ipqidam ina qerbemma 1 šuqlam ipṭurma 11 <PN>Mana</PN> annukum ilteqe,"For the 17 -textiles that were lost in Batna the caravan paid us a compensation of 1⅓ mina of tin per (person). Kura has successively obtained what he was entitled to. Kura has received ⅓ mina of silver, his working capital, in the City, (and) ½ mina of silver Aššur-mālik sent to him en route. Of the merchandise shipped under Kurub-Ištar's responsibility [Kurub-Iš]tar entrusted to me 2 talents of tin with its wrapping, 15 -textiles (and) 2 black donkeys. Of this load he has broken the seals of one packet and has taken 11 minas of silver.",original
