entry_type,form,norm,lexeme,type,known_meaning,train_frequency,in_train_data,eBL
lexicon,a-bar-ni-e,abarniē,abarniu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=abarniu
lexicon,pá-at-ru-um,patrum,patru,word,,1,True,https://www.ebl.lmu.de/dictionary?word=patru
lexicon,da-ak-ni-bi₄-im,Taqin-abim,Taqin-abu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Taqin-abu
lexicon,É-bé-tù,bētū,bētu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=bētu
lexicon,ú-ba-lá-aṭ,uballaṭ,balāṭu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=balāṭu
lexicon,qí-bi₄-a-šu-um,qibiaššum,qabā'u,word,,1,True,https://www.ebl.lmu.de/dictionary?word=qabā'u
lexicon,ta-qá-nam,taqānam,taqānum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=taqānum
lexicon,du-ug-lu,duglū,DuGlu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=DuGlu
lexicon,É-bé-tum,bētum,bētu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=bētu
lexicon,na-áš-a-ku-šu,naš'akkuššu,našā'u,word,,1,True,https://www.ebl.lmu.de/dictionary?word=našā'u
lexicon,du-uk-li,Dukli,Dukli,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Dukli
lexicon,pá-aṭ-ra-am,patram,patru,word,,1,True,https://www.ebl.lmu.de/dictionary?word=patru
lexicon,ú-ba-lá-aṭ,uballaṭ,balāṭu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=balāṭu
lexicon,sá-ḫi-ra-am,ṣaḫḫirum,ṣaḫḫurum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣaḫḫurum
lexicon,ÌR-dí-kà-ma,wardīkama,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,sà-ḫi-ra-am,ṣaḫḫirum,ṣaḫḫurum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣaḫḫurum
lexicon,a-ni-ú-tí-ma,anniūtemma,anniu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=anniu
lexicon,ÌR-dí-kà-ma,wardēkama,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,šu-ì-lí-a,Šu-ilia,Šu-ilī,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-ilī
lexicon,ḫa-ší-ú-ma-an,Ḫašiuman,Ḫašiuman,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫašiuman
lexicon,ḫa-áš-lá-tim,ḫašlātem,ḫašlātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫašlātu
lexicon,šu-la-áb-ra-at,Šu-Ilabrat,Šu-Ilabrat,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Ilabrat
lexicon,ta-kà-al,tākkal,akālu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=akālu
lexicon,šu-ḫu-bu-ur-ma,Šu-Ḫubur-ma,Šu-Ḫubur,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Ḫubur
lexicon,ḫa-ša-le,Ḫašale,Ḫašale,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫašale
lexicon,ni-ṣa-na-ba-at-ma,niṣṣanabbatma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,ÌR-dí-e,wardi,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,IR-sú,wardassu,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,iṣ-bu-tù-ni,iṣbutūni,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,tù-ṣa-ba-at,tuṣabbat,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,AN.NA-ki-ma,annekemma,annuku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,aṣ-bu-tù-ma,aṣbutūma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,šu-eš-ḫa-ra,Šu-Išḫara,Šu-Išḫara,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Išḫara
lexicon,tù-ša-aṣ-bi-ta-ma,tušaṣbitāma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,ÌR-sú,wardassu,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,ku-a-li,Kuali,Kualu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Kualu
lexicon,wa-ar-ki-tí-ma,warkītemma,warkītu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=warkītu
lexicon,ku-ri,kurrē,kurrum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kurrum
lexicon,ší-na-am,šinnam,šinnu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=šinnu
lexicon,ITU.8.KAM,warḫū,warḫu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=warḫu
lexicon,šu-ku-bu-ma,Šu-Kūbum-ma,Šu-Kūbu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Kūbu
lexicon,tù-la-ma-an,tulamman,lamānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=lamānu
lexicon,ÌR-dí-kà,wardēka,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,ḫa-áš-ḫa-ak-šu-nu,ḫašḫākšunu,ḫašāḫu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫašāḫu
lexicon,ḫa-áš-ḫa-ku,ḫašḫāku,ḫašāḫu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫašāḫu
lexicon,ḫa-áš-ḫa-ku,ḫašḫāku,ḫašāḫu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫašāḫu
lexicon,a-ni-a-tím,anniātem,anniu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=anniu
lexicon,šu-iš-ḫa-ra-ma,Šu-Išḫarama,Šu-Išḫara,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Išḫara
lexicon,sú-is-ḫa-ra,Šu-Išḫara,Šu-Išḫara,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Išḫara
lexicon,AN.NA-ku,annukū,annuku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,AN.NA-ku-um,annukum,annuku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,ṣí-ib-tí,ṣibti,ṣibtum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣibtum
lexicon,šu-a-šur-ma,Šu-Aššurma,Šu-Aššur,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Aššur
lexicon,ta-al-ta-am-da,taltamdā,lamādu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=lamādu
lexicon,a-ni-ni-im,Anninim,Anninu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Anninu
lexicon,sú-ú-a-a,Šua,Šu-Aya,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Aya
lexicon,ḫa-tù-uš,Ḫattuš,Ḫattuša,GN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫattuša
lexicon,sú-a-a,Šua,Šu-Aya,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Aya
lexicon,ṣa-ba-tim,ṣabātem,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,ta-aṣ-bi₄-tí-ma,taṣbitīma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,a-ni-ú-tí-ma,anni'ūtemma,anniu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=anniu
lexicon,ta-ṣa-ba-at-ma,taṣabbatma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,ḫa-we-ru,ḫawērū,ḫawāru,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫawāru
lexicon,la-li-im,Lālim,Lālu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Lālu
lexicon,ḫa-wi-li-im,Ḫawilim,Ḫawilia,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫawilia
lexicon,lá-li-a-ma,Laliama,Lalia,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Lalia
lexicon,lá-li,Lali,Lali,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Lali
lexicon,ÌR-dí-kà,wardīka,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,ḫa-ar-zi-ga,Ḫarzika,Ḫarzika,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫarzika
lexicon,la-ma-sí-tim,Lamassitim,Lamassatu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Lamassatu
lexicon,i-lá-mì-na-ku-um,ilamminakkum,lamānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=lamānu
lexicon,IR-sú,warassu,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,la-ma-sú-tum,Lamassutum,Lamassatu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Lamassatu
lexicon,lá-ma-sà-tum-ma,Lamassātum-ma,Lamassatu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Lamassatu
lexicon,ša-ki-li,šākilī,akālu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=akālu
lexicon,šu-ul-lá-ma,Šu-Lama,Šu-Lama,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Lama
lexicon,ḫa-ar-šu-um-nu-ma-an,Ḫaršu-numan,Ḫaršunuman,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫaršunuman
lexicon,ḫa-ar-šu-ma-an,Ḫaršu-numan,Ḫaršunuman,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫaršunuman
lexicon,ú-ša-lu-mu-nim-ma,ušallumūnimma,lamānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=lamānu
lexicon,ÌR-sú,warassu,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,ḫa-ar-šu-nu-ma-an-ma,Ḫaršu-numan-ma,Ḫaršunuman,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫaršunuman
lexicon,ḫu-ur-šu-nu-ma-an,Ḫuršunuman,Ḫaršunuman,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫaršunuman
lexicon,ḫa-ar-ta,Ḫarta,Ḫarta,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫarta
lexicon,šu-ku-bi-ma,Šu-Kūbim-ma,Šu-Kūbu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Kūbu
lexicon,ÌR-dí-e,wardī,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,kà-in,ka''in,kuānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuānu
lexicon,kà-in-ma,ka''inma,kuānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuānu
lexicon,la-aṣ-ba-at-ma,laṣbatma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,ta-áš-ku-un,taškun,šakānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=šakānu
lexicon,a-lu-ku,alluku,alāku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=alāku
lexicon,sí-kà-áš-nu,sikkašnu,sikkum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=sikkum
lexicon,i-dí-ku-bi,Iddin-Kūbe(m),Iddin-Kūbu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Iddin-Kūbu
lexicon,šu-uk-na-šu,šuknaššu,šakānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=šakānu
lexicon,a-lá-kam-ma,allakamma,alāku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=alāku
lexicon,al-kà,alkā,alāku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=alāku
lexicon,ku-ni,kunni,kuānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuānu
lexicon,i-dí-IŠTAR-ma,Idī-Ištar-ma,Iddin-Ištar,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Iddin-Ištar
lexicon,ku-wa-um,kuā'um,kuā'u,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuā'u
lexicon,ig-ri-a,igrēā,igrū,word,,1,True,https://www.ebl.lmu.de/dictionary?word=igrū
lexicon,GÉME-tám,amtam,amtu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=amtu
lexicon,ik-re-e,igrē,igrū,word,,1,True,https://www.ebl.lmu.de/dictionary?word=igrū
lexicon,ik-re-e,igrē,igrū,word,,1,True,https://www.ebl.lmu.de/dictionary?word=igrū
lexicon,wa-ar-ki-a-ma,warkiamma,warkiu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=warkiu
lexicon,i-dí-ku-ba-am,Iddin-Kūbam,Iddin-Kūbu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Iddin-Kūbu
lexicon,a-li-kam-ma,allikamma,alāku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=alāku
lexicon,ku-wa-ú-tum,kuā'ūtem,kuā'u,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuā'u
lexicon,sí-kà-tù-ni-ma,sikkatūnima,sikkutum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=sikkutum
lexicon,ni-ša-kà-an,nišakkan,šakānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=šakānu
lexicon,ni-ša-kà-an,nišakkan,šakānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=šakānu
lexicon,nu-ta-ar,nūtār,watāru,word,,1,True,https://www.ebl.lmu.de/dictionary?word=watāru
lexicon,e-dí-a-šur,Iddi(n)-Aššur,Iddin-Aššur,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Iddin-Aššur
lexicon,i-di-a-šur,Iddi(n)-Aššur,Iddin-Aššur,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Iddin-Aššur
lexicon,i-tí-ir,itir,watāru,word,,1,True,https://www.ebl.lmu.de/dictionary?word=watāru
lexicon,ku-da-nim,Kudānim,Kudānu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Kudānu
lexicon,wa-ta-ar-tám,watartam,watartu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=watartu
lexicon,ša-ki-in,šakin,šakānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=šakānu
lexicon,i-dí-da-ga-an,Iddin-Dagān,Iddin-Dagān,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Iddin-Dagān
lexicon,ta-ša-kà-na-ni,tašakkananni,šakānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=šakānu
lexicon,sí-ke,sikkē,sikkum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=sikkum
lexicon,i-dí-èr-ra,Iddin-Erra,Iddin-Erra,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Iddin-Erra
lexicon,i-dí-DINGIR,Iddin-ilum,Iddin-ilu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Iddin-ilu
lexicon,i-kà-a,Ikā,Ikā,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ikā
lexicon,ku-wa-ú-tum,kuā'ūtum,kuā'u,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuā'u
lexicon,ṣí-ib-tí-šu-nu,ṣibtišunu,ṣibtum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣibtum
lexicon,i-du-a,Idua,Idua,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Idua
lexicon,ú-kà-i-in,uka''in,kuānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuānu
lexicon,ku-nu-um-ma,kunnuma,kuānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuānu
lexicon,wa-ar-ki-tí-ša,warkītīša,warkītu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=warkītu
lexicon,ṣí-ba-sú-ú,ṣibassu,ṣibtum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣibtum
lexicon,a-ša-kán,ašakkan,šakānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=šakānu
lexicon,id-ma-tim,idmātem,idmātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=idmātu
lexicon,i-dí-a,Idia,Idia,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Idia
lexicon,ṣí-bi-it,ṣibit,ṣibtum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣibtum
lexicon,a-ma-tí-ma,amātemma,amtu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=amtu
lexicon,i-di,idi,idum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=idum
lexicon,ur-ki-tim,warkītem,warkiu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=warkiu
lexicon,GÉME-tí-a,amtīa,amtu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=amtu
lexicon,ṣí-ib-ti-šu,ṣibtīšu,ṣibtum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣibtum
lexicon,a-ta-lá-ak-ma,attallakma,alāku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=alāku
lexicon,ú-kà-a-an,uka''an,kuānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuānu
lexicon,a-tal-kà-nim-ma,atalkānimma,alāku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=alāku
lexicon,a-ta-na-lá-ak-ma,attanallakma,alāku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=alāku
lexicon,li-iš-ku-nu-ma,liškunūma,šakānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=šakānu
lexicon,sí-ba-ra-tim,ṣibārātem,ṣibārātū,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣibārātū
lexicon,ik-ra-a,Ikra,Ikrā,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ikrā
lexicon,ṣí-ba-ra-tum,ṣibārātum,ṣibārātū,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣibārātū
lexicon,ik-ra,Ikra,Ikrā,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ikrā
lexicon,ik-ri-bu-um,ikribum,ikribu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ikribu
lexicon,ku-a-um,kuā'um,kuā'u,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuā'u
lexicon,a-mu-ru-um,ammurum,ammuru,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ammuru
lexicon,wa-ar-ki-im,warkiem,warkiu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=warkiu
lexicon,a-mì-e-im,ammiem,ammiu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ammiu
lexicon,ik-ri-bi-ni,ikribēni,ikribu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ikribu
lexicon,ki-zi-e,Kizi,Kizi,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Kizi
lexicon,ig-ru-šu-nu,igrūšunu,igrū,word,,1,True,https://www.ebl.lmu.de/dictionary?word=igrū
lexicon,ṣí-ib-tam,ṣibtam,ṣibtum,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣibtum
lexicon,ku-wa-tí-ma,kuātemma,kuā'u,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kuā'u
lexicon,a-nim-ma,annima,anni,word,,1,True,https://www.ebl.lmu.de/dictionary?word=anni
lexicon,ṣa-ab-ta-ku-um,ṣabtākum,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,wa-ar-kà-nu-um,warkānum,warkānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=warkānu
lexicon,ta-aṣ-ba-at-ma,taṣbatma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,ta-ṣa-ba-at,taṣabbat,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,lá-mu-nu-um,lammunum,lammunu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=lammunu
lexicon,ḫa-ar-pè-e,ḫarpē,ḫarpu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫarpu
lexicon,šu-sú-in-ma,Šu-Suen-ma,Šu-Suen,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Suen
lexicon,šu-sú-en-ma,Šu-Suen-ma,Šu-Suen,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Šu-Suen
lexicon,ḫa-ar-pì-im,ḫarpem,ḫarpu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫarpu
lexicon,wa-ar-dí,wardē,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,šu-ta-aṣ-bi-ta-ma,šutaṣbitamma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,ta-li,Tali,Tali,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Tali
lexicon,a-ni-ki-a,annikīa,annuku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,wa-ar-dim,wardem,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,za-ga-al-i,Zagali,Zagalu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Zagalu
lexicon,ḫa-ra-nu-um,ḫarrānum,ḫarrānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫarrānu
lexicon,ÌR-dim,wardem,wardu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=wardu
lexicon,šu-ta-aṣ-bi₄-ta-ma,šutaṣbitāma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,šu-ta-aṣ-bi₄-ta-ma,šutaṣbitamma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,ḫa-ra-na-am,ḫarrānam,ḫarrānu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫarrānu
lexicon,li-iṣ-bu-tù,liṣbutū,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,ṣú-ba-tum,ṣubātum,ṣubātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,ḫa-ra-be-et,Ḫarabet,Ḫarabet,GN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫarabet
lexicon,ḫa-ra-bi₄-iš,Harabiš,Ḫarabiš,GN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫarabiš
lexicon,TÚG-ba-tí-šu,ṣubātēšu,ṣubātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,lá-pu-tù,lapputu,lapātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=lapātu
lexicon,lá-pu-ta-ku-ni,lapputākuni,lapātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=lapātu
lexicon,ú-ra-dá-ma,urradamma,warādu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=warādu
lexicon,za-ak-ta-a,Zagdā,Zagdā,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Zagdā
lexicon,na-aṣ-bu-tù-ma,naṣbutumma,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,uš-té-ri-id-kà,uštēridka,warādu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=warādu
lexicon,sí-tim,ṣītem,ṣītu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣītu
lexicon,ṣú-ba-ta-am,ṣubātam,ṣubātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,aḫ-ri-im,aḫrim,ḫarāmu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫarāmu
lexicon,la-mu-nam,lammunam,lammunu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=lammunu
lexicon,e-kà-al,ēkkal,akālu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=akālu
lexicon,lá-am-ni-a-nim,Lamni-Anim,Lamni-Anu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Lamni-Anu
lexicon,(TÚG)ṣú-ba-tum,ṣubātum,ṣubātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
lexicon,ṣa-áb-ta-am,ṣabtam,ṣabātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣabātu
lexicon,ak-lá-ku,aklāku,akālu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=akālu
lexicon,ak-lu-ú,aklū,akālu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=akālu
lexicon,ḫa-ar-lá,Ḫarla,Ḫarla,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫarla
lexicon,ḫa-ar-lu-ú,Ḫarlu,Ḫarlu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫarlu
lexicon,ak-lu,aklū,akālu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=akālu
lexicon,sà-ak-ta-a,Zagdā,Zagdā,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Zagdā
lexicon,ṣí-tim,ṣītem,ṣītu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣītu
lexicon,ḫa-ri-im-tim,Ḫarimtim,Ḫarimtu,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Ḫarimtu
lexicon,a-ni-i,anni,anni,word,,1,True,https://www.ebl.lmu.de/dictionary?word=anni
lexicon,ší-tí-im,šîttem,šîttu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=šîttu
lexicon,an-ḫu-tum,anḫūtum,anḫu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=anḫu
lexicon,ku-sí-tum,kusītum,kusītu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=kusītu
lexicon,iṣ-ḫi-ir-ma,iṣḫirma,ṣaḫāru,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣaḫāru
lexicon,iṣ-ḫi-ru-ma,iṣḫirūma,ṣaḫāru,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣaḫāru
lexicon,ḫa-ri-im-tí-im,ḫarimtem,ḫarimtu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ḫarimtu
lexicon,sà-ak-ta-a,Saktā,Zagdā,PN,,1,True,https://www.ebl.lmu.de/dictionary?word=Zagdā
lexicon,lam-ni-iš,lamniš,lamniš,word,,1,True,https://www.ebl.lmu.de/dictionary?word=lamniš
lexicon,an-ni-ki,anniki,annuku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,a-ku-ul,akul,akālu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=akālu
lexicon,an-ni-ki,annekē,annuku,word,,1,True,https://www.ebl.lmu.de/dictionary?word=annuku
lexicon,il₅-pu-tù-kà,ilputūka,lapātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=lapātu
lexicon,TÚG-ba-tim,ṣubātem,ṣubātu,word,,1,True,https://www.ebl.lmu.de/dictionary?word=ṣubātu
