source,target,origin
m te-um-man ša ina mi-qit ṭè-e - me a-na IBILA - šú iq-bu-ú šu-le-e GIŠ . PAN 1,"Teumman , < who >, during a loss of ( all ) reason , said to his son : “ Shoot the bow!”",oracc
m te-um-man MAN KUR . ELAM . MA . KI šá ina MÈ dan-ni muḫ-ḫu-ṣu m tam-ri-i - tú DUMU-šú GAL - u ŠU . II-su iṣ-ba-tu-ma a-na šu-zu-ub ZI-tì-šú in-nab-tú iḫ-lu-pu qé-reb qiš-ti ina tukul - ti AN . ŠÁR u d 15 a-nar-šú-nu-ti SAG . DU-šú-nu KUD-is mé-eḫ-ret a-ḫa-meš,"Teumman , the king of the land Elam who had been struck during a mighty battle ( and ) whose hand Tammarītu , his eldest son , had grasped — they fled in order to save his ( Teumman’s ) life ( and ) slipped into the forest . With the support of ( the god ) Aššur and goddess Ištar , I killed them . I cut off their head ( s ) in front of one another .",oracc
SAG . DU m te-um - man MAN KUR . ELAM . MA . KI ša ina MURUB₄ tam - ḫa - ri ik-ki-su a-ḫu-ru-u ERIM . ḪI . A-ia a-na pu - us - su-rat ḫa-de-e ú-šaḫ-ma-ṭu a-na KUR AN . ŠÁR . KI,"The head of Teum man , the king of the land Elam , which a common soldier in my army had cut off in the midst of bat tle . They dispatched ( it ) quickly to As syria to ( give me ) the good ne ws .",oracc
m ur - ta - ku ḫa-ta-nu m te-um-man šá ina uṣ-ṣi muḫ-ḫu-ṣu la iq-tú-u ZI . MEŠ a-na na-kas SAG . DU ra-ma-ni-šú DUMU KUR aš-šur i-šá-si - ma um-ma al-ka SAG . DU KUD-is IGI LUGAL EN-ka i-ši - ma le - e-qí MU SIG₅-tim,"Ur t aku , an in-law of Teumman who had been struck by an a rro w ( but ) had not ( yet ) died , called out to an Assyrian to c ut of f his ( Urtaku’s ) own head , saying “Come here ( and ) cut off ( my ) head . Carry ( it ) before the king , your lord , and obtain fame.”",oracc
m i-tu-ni-i LÚ . šu-ut SAG m te-um-man LUGAL KUR . ELAM . MA . KI šá er-ḫa-niš iš - tap-pa-raš-šú a-di maḫ-ri - ia ta-ḫa-zi dan-nu e-mur - ma ina GÍR AN . BAR šib - bi-šú GIŠ . PAN si-mat Á . II-šu ik-si - ma ŠU . II ra-ma - ni-šú,"Itunî , a eunuch of Teumman , the king of the land Elam , whom he ( Teumman ) insolently sent again and again before me , saw my mighty battle array and , with his iron belt-dagger , cut with his own hand ( his ) bow , the emblem of his strength .",oracc
si-id-ru ša m AN . ŠÁR-DÙ-A MAN KUR AN . ŠÁR . KI šá-kin BAD₅ . BAD₅ KUR . ELAM . MA . KI,"Battle line of Ashurbanipal , king of A ssyria , the one who established the de feat of the land Elam .",oracc
BAD₅ . BAD₅ ERIM . ḪI . A . MEŠ m te-um-man LUGAL KUR . ELAM . MA . KI ša qé-reb DU₆-URU . tu-ú - bu m AN . ŠÁR-DÙ-A MAN GAL MAN dan-nu MAN ŠÚ MAN KUR AN . ŠÁR . KI ina la mì-i - ni iš-ku-nu id-du - ú ADDA . MEŠ qu - ra-di-šú,"The defeat of the troops of Teumman , the king of the land Elam , which Ashurbanipal , great king , strong king , king of the world , king of Assyria , had brought about ( by inflicting ) countless ( losses ) at ( the city ) Tīl-Tūba , ( and during which ) he had cast down the corpses of his ( Teumman’s ) w arriors .",oracc
m um-man-i - gaš mun-nab-tú ARAD šá iṣ - ba-tú GÌR . II-ía ina e - peš pi-ia ina ḪÚL . MEŠ qé - reb KUR . ma-dak-te u URU . šu - šá-an LÚ . šu-ut SAG-ia šá áš - pu-ru ú - še - rib - ma ú - še-šib-šú ina GIŠ . GU . ZA m te - um - man šá ik - šu-da ŠU . II-a - a,"The fugitive U mmanigaš ( Ḫumban-nikaš II ) , a servant who had grasped my feet . When I gave the command ( lit . “at the working of my mouth” ) in ( the midst of ) celebration , a eunuch of mine whom I had sent ( with him ) ushered ( him ) in to the land Madaktu and the city Susa and placed him on the throne of Teu mman , whom I had def eated .",oracc
KUR . ma-dak-tú,The city ( lit . “land” ) Madaktu .,oracc
a - na - ku m AN . ŠÁR-DÙ-A LUGAL ŠÚ LUGAL KUR AN . ŠÁR . KI šá ina tukul-ti AN . ŠÁR u d 15 EN . MEŠ-ia LÚ . KÚR . MEŠ - ia ak-šú-du am-ṣu ma-la lìb - bi - ia m ru-sa - a LUGAL KUR . ur-ar - ṭa da - na-an AN . ŠÁR EN - ia iš-me-ma pu-luḫ-tú LUGAL-ti-ia is-ḫu - up-šú-ma LÚ . MAḪ . MEŠ-šú a-na šá-ʾa-al šul - mì - ia iš - pu-ra ana qé-reb LÍMMU-DINGIR . KI m d MUATI-SIG₅ m um-ba-da-ra-a LÚ . MAḪ . MEŠ šá KUR . ELAM . MA . KI it-ti GIŠ . ZU . MEŠ ši - pir me-re-eḫ-tú ul-ziz ina maḫ-ri-šú-un,"I , Ashurbanipal , king of the world , king of Assyria , who with the support of ( the god ) Aššur and the goddess Ištar , my lords , conquered my enemies ( and ) achieved my heart’s desire . Rusâ , the king of the land Urarṭu , heard about the mi gh t of ( the god ) Ašš ur , my lo rd , and fear of my royal majesty overwhelmed him and he ( then ) sent his envoys to me in Arbela , to inquire about my well-being . I made Nabû-damiq ( and ) Umbadarâ , envoys of the land Elam , stand before them with writing boards ( inscribed with ) insolent m es sages .",oracc
m (blank) m (blank) UGU AN . ŠÁR DINGIR ba-ni-ia iq-bu-ú sil-la-tú GAL-tu EME-šú-nu áš-lu-up aš-ḫu-ṭa KUŠ-šú-un,"( PN₁ and PN₂ ) uttered grievous blasphemies against ( the god ) Aššur , the god who created me . I tore out their tongue ( s and ) flayed them .",oracc
URU . LÍMMU - DINGIR,The city Arbela .,oracc
a-na-ku m AN . ŠÁR-DÙ-A MAN ŠÚ MAN KUR AN . ŠÁR . KI šá ina qí-bit DINGIR . MEŠ GAL . MEŠ ik-šu-du ṣu-um-me-rat lìb-bi-šú lu - bul-tú šu - kut-tu si-mat LUGAL-u - ti šá m d GIŠ . NU₁₁ - MU-GI . NA ŠEŠ NU GI . NA MUNUS . sek-re-te-šú LÚ . šu-ut SAG . MEŠ - šú LÚ . ERIM . MEŠ MÈ-šú GIŠ . GIGIR GIŠ . šá šad-da - di ru - kub EN-ti-šú mim-ma ḫi-šiḫ-ti É . GAL-šú ma - la ba - šu-ú UN . MEŠ zik-ru u sin-niš TUR GAL ú-še-et-ti-qu ina maḫ - ri - ia,"I , Ashurbanipal , king of the world , king of Assyria , who by the command of the great gods , achieved his heart’s desires : They paraded before m e clothing ( and ) jewelry , royal appurtenances of Šamaš-šu ma-u kīn — ( my ) unfaithful brother — his palace women , his eun uchs , his battle troops , a chariot , a processional carriage , the ve hicle of his lordly majesty , every necessity of his palace , as much as there was , ( and ) people — male and female , young ( and ) old .",oracc
... áš-ku-nu - uš a-na LUGAL-ú - ti ... ... ( ) ...,... I installed h im as king ... ... ... .,oracc
URU . ḫa-ma-nu URU LUGAL-u - ti šá KUR . ELAM . MA . KI al-me KUR-ud áš-lu-la šal-lat-su,"I surrounded , conquered , ( and ) plundered the city Ḫamanu , a royal city of the land Elam .",oracc
URU . ḫa-ma-nu URU LUGAL-u - ti šá KUR . ELAM . MA . KI al-me KUR-ud áš-lu-la šal-lat-su ap-pul aq-qur ina d GIŠ . BAR aq-mu,"I surrounded , conquered , plundered , destroyed , demolished , ( and ) burned with fire the city Ḫamanu , a royal city of the land Elam .",oracc
URU . É-m bu - na-ki URU ( LUGAL-u - ti ) šá KUR . ELAM . MA . KI (... ) 1 ...,"... the city Bīt -Bunakku , a ( royal ) city of the land Elam .",oracc
a-na - ku AN . ŠÁR-DÙ-A MAN ŠÚ MAN KUR AN . ŠÁR . KI šá ina qí-bit AN . ŠÁR u d NIN . LÍL ik-šú-du ṣu-um-me-rat lìb-bi-šú URU . di - in - LUGAL URU ša KUR . ELAM . MA . KI al-me KUR - ud GIŠ . GIGIR . MEŠ GIŠ . ṣu-um-bi ANŠE . KUR . RA . MEŠ 1 ANŠE . KUNGA . MEŠ ú-še-ṣa - am-ma šal-la-tiš am - nu 2,"I , Ashurbanipal , king of the world , king of Assyria , who b y the command of ( the god ) Aššur and the goddess Mullissu , achieved his heart’s desires , surro und ed ( and ) conquered the city Din šarri , a ci ty of the land Elam . I brought out chariot s , wagons , horses , ( and ) mules and I cou nted ( them ) as booty .",oracc
URU . (traces) URU LUGAL-u - ti šá KUR . ELAM . MA . KI al - me ak - šu - ud áš-lu-la šal-lat-su 1,"I surrounded , conquered , ( and ) plundered the cit y ..., a royal city of the land Elam .",oracc
URU . - - tu URU šá KUR . ELAM . MA . KI al-me KUR-ud 1 ap-pul aq - qur ina d GIŠ . BAR aq-mu 2,"I surrounded , conquered , destroyed , dem olished , ( and ) burned with fire the city ... tu , a city of the land Elam .",oracc
a - na - ku AN . ŠÁR-DÙ-A ... 1 ... ... ... ... AN . ŠÁR ... ELAM . MA . KI ...,"I , Ashurbanipal ... ( the god ) Ašš ur ... ( the land ) Elam ... .",oracc
a-na - ku AN . ŠÁR-DÙ-A MAN ŠÚ MAN KUR AN . ŠÁR . KI 1 ša ina tukul-ti AN . ŠÁR u d 15 (... ) LÚ . KÚR . MEŠ-šú ik-šu-du ... 2 ša ... áš - lu-la šal-lat-su ... 3,"I , Ashurbanipal , king of the world , king of Assyria , who with the support of ( the god ) Aššur and the goddess Ištar , ( ... ) , conquered his enem ies , ... plu ndered ... of ... .",oracc
m um-man-al-daš ( MAN KUR . ELAM . MA . KI ) ša šu-uš-mur GIŠ . TUKUL AN . ŠÁR EN-ia 1 (... ) e-mu-ru-ma i-tu-ru ul-tú KUR-e a-šar mar-qí-ti-šú ... LÚ . EN . URU ša URU . mu-ru-ú - bi-si ... da-na - an AN . ŠÁR EN-ia iḫ-su-us-ma ... m um-man-al-daš iṣ-bat-ma ... il-qa-áš-šú a-di maḫ-ri-ia,"Ummanaldaš ( Ḫumban-ḫaltaš III ) , ( the king of the land Elam ) who had seen the rage of the weapon of ( the god ) Aššur , my lord , ( ... ) and had returned from the mountain ( s ) , his place of refuge . PN , the city rul er of the city Murubissi ( Marubišti ) , thought about ... the migh t of ( the god ) Aššur , my lord , and ... . He seized Ummanaldaš , and ... brought him before me .",oracc
... ep - šet qa - ti-šú SIG₅ . MEŠ i-ram-mu gi-mir mal-ki šá kiš-šá - ti KUR . KUR 1 ... m tam-ma-ri-tú m pa-ʾe-e m um-man-al - daš LUGAL . MEŠ šá KUR . ELAM . MA . KI šá ina tukul-ti AN . ŠÁR u d NIN . LÍL ik-šu - da ŠU . II - a-a 2 ... - a i - zi - zu-ma nap-tan MAN-ti-šú-nu ŠU . II ra-me-ni-šú-nu e-pu-šá-ma ú-še-rib-u - ni ina IGI-ia 3,"... who love his good d e e ds ( lit . “ the good d ee ds of his hands ” ) , all of the rulers of the entiret y of the lands ... — ( As for ) Tammarītu , Paʾê , ( and ) Ummanalda šu ( Ḫumban-ḫaltaš III ) , kings of the land Elam whom I had defeat ed with the support of ( the god ) Aššur and the goddess Mullissu , ... they sto od ... and ( then ) they prepared their royal meal with their own hands and had ( it ) brought before me .",oracc
a-na-ku AN . ŠÁR-DÙ - A MAN ŠÚ MAN KUR AN . ŠÁR . KI 1 šá ina tukul-ti AN . ŠÁR u d 15 LÚ . KÚR . MEŠ-šú ik-šu-du ... URU . É-m lu-up-pi al-me KUR-ud UN . MEŠ a-šib lìb-bi-šú GIŠ . GIGIR . MEŠ GIŠ . ṣu-um-bi ANŠE . KUR . RA . MEŠ 2 ANŠE . KUNGA . MEŠ ú-še-ṣa-am-ma šal - la - tiš am-nu,"I , Ashurbani pal , king of the world , king of Assyria , who with the support of ( the god ) Aššur and the goddess Ištar , conquered his enemies ..., surrounded ( and ) conquered the ci ty Bīt-Luppi . I brought out the pe ople living in it , chariots , wagons , horses , ( and ) mules and counted ( them ) as boo ty .",oracc
... it-ti aš-šur u d 15 ú-šam - kír - u-ma ik - ṣu-ra MÈ ina šur-ru-< ut > mit-ḫu-ṣi-šú ina URU . ... ... ša ú-tak-kil-ú - in-ni ERIM . ḪI . A mi-iṣ-tu BAD₅ . BAD₅ ERIM . ḪI . A - šú iš-kun ... ... - šú - un sít-ta-tu-šú-nu šá ina BAD₅ . BAD₅ ip-par-šid-du pa - na - ... ... MAN ki - a-am i-qab-bu um-ma la ta-pal-làḫ aš-šur KI - ...,"... had incited ( ... ) to rebel against ( the god ) Aššur and the goddess Ištar and he prepared for battle . At the beginning of his fight , in the city ..., w ho had encouraged me , a small body of troops brought about the defeat of his troops . ... t heir ... , the rest of them who had fled when ( they were ) defeated ... ... . They were speaking as follows , saying : “Do not be frightened ! ( The god ) Aššur ... . ”",oracc
... ... - ti ... - un,( No translation possible ),oracc
a-na-ku m AN . ŠÁR-DÙ-A MAN ŠÚ MAN KUR AN . ŠÁR . KI šá AN . ŠÁR LUGAL DINGIR . MEŠ d 15 be-let MÈ ši-mat qar-ra-du-ti i-ši-mu - uš ... d IGI . DU a-lik maḫ-ri ba-ʾu-ú - ri ša EDIN šal-ṭiš ú-še - piš - an-ni ki-i mul-ta-ʾu-u - ti A SAL NAB ... ú-ṣi ina EDIN áš-ri rap-ši la-ab-bi na-ad - ru-( u )-ti i-lit-ti ḫur-šá-a - ni ḪUŠ . MEŠ it-bu - nim-ma il-mu-u GIŠ . GIGIR ru-kub LUGAL-ti-ia ina qí-bit AN . ŠÁR u d 15 DINGIR . MEŠ GAL . MEŠ EN . MEŠ-ia ina 1- et ú-re-e ṣi-mit - ti ni-ri-ia ... el-lat UR . MAḪ . MEŠ šú-a - tu - nu ú-par-ri-ir m um-man - ap-pa DUMU m ur - ta-ki MAN KUR . ELAM . KI šá in-nab - tú-ma iṣ-ba-tú GÌR . II-ia ... - nu-ti UR . MAḪ ina muḫ-ḫi - šú it-bi-ma EN - u-ti ... ip-làḫ-ma ú - ṣal - la-a EN-u - ti,"I , Ashurbanipal , king of the world , king of Assyria , for who m ( the god ) Aššur — the king of the gods — ( and ) the goddess Ištar — the lady of battle — determined a destiny of heroism , ... : The god Palil , the one who goes before me , let me go triumphantly hunting in the steppe . For pleasure ... ... I went out . In the steppe , a widespread place , rag ing lions , a ferocious mountain breed , attacked me and surrounded the chariot , the vehicle of my royal majesty . By the command of ( the god ) Aššur ( and ) the goddess Ištar , the great gods , my lords , with a single team harnes sed to my yoke ... I scatter ed the pack of tho se lions . Umman appa , a son of Ur taku , the king of the land Elam , who had fled and had grasped my feet , ... ... a lion attacked him and he ... my lordly majesty , ... , became frightened , and made an appeal to my lordly majesty ( for help ) .",oracc
a-na-ku m AN . ŠÁR-DÙ-A MAN ŠÚ MAN KUR AN . ŠÁR . KI ina me-lul - ti NUN-ti-ia UR . MAḪ ez - zu šá EDIN-šú TA ŠÀ GIŠ . na-bar-ti ú-še-ṣu-nim-ma ina GÌR . II-ia ina GIŠ . KAK . TI 3- šú as-ḫul - ( ma ) na-piš - ta-šú ul iq-ti ina qí-bit d IGI . DU LUGAL EDIN ša dun-nu zik - ru - tu ú-šat - li-ma - an-ni 1 EGIR ina GÍR AN . BAR šib-bi-ia as-ḫul-šu-( ma ) na-piš-tú iš-kun,"I , Ashurbanipal , king of the world , king of Assyria — while ( carrying out ) my princely spor t , they had a fi erce lion that was born in the steppe ( lit . “of its plain” ) brought out of a cage and , while on foot , I pierced ( it ) three times with arrow ( s ) ( but ) its life did not come to an end . Through the command of the god Palil , the king of the steppe who had generously gr<anted > me power ( and ) vir ilit y , I subsequently stabbed it with my iron belt-dagger ( and ) it laid down ( its ) life .",oracc
a-na-ku m AN . ŠÁR-DÙ-A MAN ŠÚ MAN KUR AN . ŠÁR . KI ina mul-ta-ʾu-ti-ia ina GÌR . II-ia UR . MAḪ ez-zu šá EDIN-šú ina GEŠTU . II-šú aṣ-bat-ma ina tukul-ti AN . ŠÁR ù d iš-tar be-let ta-ḫa-zi ina GIŠ . az-mar-e ša ŠU . II-ia as-ḫul zu-mur-šú,"I , Ashurbanipal , king of the world , king of Assyria , while enjoying myself on foot , seized a fierce lion that was born in the steppe ( lit . “of its plain” ) by its ear and , with the support of ( the god ) Aššur and the goddess Ištar — the lady of battle — pierced its body with the lance that was in my hand .",oracc
a-na-ku m AN . ŠÁR-DÙ-A LUGAL ŠÚ LUGAL KUR AN . ŠÁR . KI ina me-lul-ti NUN-ti-ia UR . MAḪ šá EDIN-šú ina KUN-šú aṣ-bat-ma ina qí-bit d nin-urta d U . GUR DINGIR . MEŠ ti-ik-le-ia ina GIŠ . ḫu-ut-pal-e ša ŠU . II-ia muḫ-ḫa-šu ú-lat - ti,"I , Ashurbanipal , king of the world , king of Assyria , while ( carrying out ) my princely sport , seized a lion that was born in the steppe ( lit . “of its plain” ) by its tail and , through the command of the gods Ninurta ( and ) Nergal , the gods who support me , shattered its skull with the mace that was in my hand .",oracc
a-na-ku m AN . ŠÁR-DÙ-A MAN ŠÚ MAN KUR AN . ŠÁR . KI šá AN . ŠÁR d NIN . LÍL e-mu-qí ṣi-ra-a - ti ú-šat-li-mu-uš UR . MAḪ . MEŠ šá ad-du-ku GIŠ . til-pa-a - nu ez-ze-tú šá d 15 be-let MÈ UGU-šú-un az-qu-up muḫ-ḫu-ru e-li-šú-nu ú-ma-ḫir GEŠTIN aq-qa-a e-li-šú-un,"I , Ashurbanipal , king of the world , king of Assyria , to whom ( the god ) Aššur ( and ) the goddess Mullissu have granted outstanding strength , set up the fierce bow of the goddess Ištar — the lady of battle — over the lions that I had killed . I made an offering over them ( and ) poured ( a libation of ) wine over them .",oracc
a-na d AG EN MAḪ a-šib é-zi-da šá ŠÀ NINA . KI EN-šú m AN . ŠÁR-DÙ-A MAN KUR AŠ 1 i-riš-ti ḫi-šiḫ-ti DINGIR-ti-šú GAL-ti šá ina šá-kan UMUŠ-šú u SUM ur-ti-šú DUGUD-ti ina mit-ḫu-ṣi BAD₅ . BAD₅ KUD-su SAG . DU m te-um-man MAN KUR . ELAM . MA . KI u m um-man-i - gaš m tam-ma-ri-tú 2 m pa-ʾe-e m um-man-al-daš šá EGIR m te-um-man DÙ-šú MAN-ut KUR . ELAM . KI ina qí-bi-ti-šú GAL-ti qa-ti KUR-su-nu-ti-ma ina GIŠ . šá šá-da-di ru-kub MAN-ti-ia LAL-su-nu-ti u ina tukul-ti-šú GAL-ti ina kul-lat NIGIN KUR . KUR GAR . GAR-nu si-mat ina u₄-me-šú KISAL É d MUATI EN-ía ina pi-i - li eš-qí ši-kit-ta-šú ú-rab-bi ana šat-ti d MUATI ḫa-diš IGI . BAR-ma 3 lim-ma-ḫir IGI-uk-ka ina ti-kip SANTAK₄-ki-ka ke-e - ni TIN UD . ME-ía GÍD . MEŠ li-ṣa-a 4 šap-tuk-ka DU . DU-ku é-zi-da ina IGI DINGIR-ti-ka li-lab-bi-ra GÌR . II-a - a,"For the god Nabû , the exalted lord who dwells in Ezida — which is inside Nineveh — his lord : Ashurbanipal , king of Assyria , the one requested ( and ) required by his ( Nabû’s ) great divinity , who , at the issuing of his directive and the giving of his stern order , cut off the head of Teumman , the king of the land Elam , in the clash of battle . Moreover , by his great command , I defeated Ummanigaš ( Ḫumban-nikaš II ) , Tammarītu , Paʾê , ( and ) Ummanaldašu ( Ḫumban-ḫaltaš III ) , who had exercised kingship over the land Elam after Teumman , and ( then ) harnessed them to a processional carriage , the vehicle of my royal majesty . Furthermore , with his great support , I constantly established proper procedures in every single land . At that time , I enlarged the structure of the courtyard of the temple of the god Nabû , my lord , with massive ( blocks of ) limestone . On account of this , O Nabû , look upon ( this courtyard ) with pleasure and may it be acceptable to you . May ( the command for ) a long life for me ( lit . “a life of my long days” ) come forth from your lips through your reliable cuneiform sign ( s ) . May my feet grow old walking about in Ezida in your divine presence !",oracc
a-na d NIN . LÍL be-let KUR . KUR a-ši-bat é-maš-maš m AN . ŠÁR-DÙ-A MAN KUR AN . ŠÁR . KI NUN pa-liḫ-šá GÌR . NÍTA DÙ-ut ŠU . II-šá šá ina qí-bi-ti-šá GAL-ti ina qit-ru-ub ta-ḫa-zi ik-ki-su SAG . DU m te-um-man LUGAL KUR . ELAM . MA . KI u m um-man-i - gaš m tam-ma-ri-tú m pa-ʾe-e 1 m um-man-al-daš šá EGIR m te-um-man DÙ-šú LUGAL-ut KUR . ELAM . MA . KI ina tukul-ti-šá GAL-ti ŠU . II KUR-su-nu-ti-ma ina GIŠ . šá šá-da-di ru-kub LUGAL-ti-ia aṣ-mid-su-nu-ti u ina zik-ri-šá DUGUD ina kul-lat KUR . KUR DU . MEŠ-ma GABA . RI NU TUK u ina u₄-me-šú KISAL É d 15 GAŠAN-ia ina pi-i - li eš-qí ši-kit-ta-šú ú-rab-bi a-na šat-ti d NIN . LÍL ki-sal-lu šú-a - tú lim-ma-ḫir IGI-uk-ki ia-a - ti m aš-šur-DÙ-A pa-liḫ DINGIR-ti-ki GAL-ti 2 ba-laṭ UD . MEŠ GÍD . MEŠ DÙG . GA ŠÀ qí-šim-ma 3 DU . DU-ku é-maš-maš lu-lab-bi-ra GÌR . II-a - a,"For the goddess Mullissu , the lady of the lands who dwells in Emašmaš : Ashurbanipal , king of Assyria , the ruler who reveres her , the governor ( who is ) the creation of her hands , who , at her great command , cut off the head of Teumman , the king of the land Elam , in the thick of battle . Moreover , with her great support , I defeated Ummanigaš ( Ḫumban-nikaš II ) , Tammarītu , Paʾê , ( and ) Ummanaldašu ( Ḫumban-ḫaltaš III ) , who had exercised kingship over the land Elam after Teumman , and ( then ) harnessed them to a processional carriage , the vehicle of my royal majesty . Furthermore , at her stern pronouncement , I marched through all of the lands and had no rival ( therein ) . Moreover , at that time , I enlarged the structure of the courtyard of the temple of the goddess Ištar , my lady , with massive ( blocks of ) limestone . On account of this , O Mullissu , may this courtyard be acceptable to you . Grant me — Ashurbanipal , the one who reveres your great divinity — long life ( lit . “life of long days” ) ( and ) happiness , and ( then ) may my feet grow old walking about in Emašmaš !",oracc
m aš-šur-DÙ-A MAN GAL MAN KAL MAN ŠÚ MAN KUR aš - šur re-e - šú mut-nen-nu-u pa-liḫ DINGIR . MEŠ GAL . ME na-ra-am d aš-šur u d NIN . LÍL ḫi-šiḫ-ti d MUATI u d AMAR . UTU na-ṣir AD . ḪAL DINGIR . ME GAL . ME muš-te₉ - eʾ-ú áš - re - e SANGA KÙ šá na - dan zi - bi-šú i - ra - mu DINGIR . ME šu-ut AN KI mu - é - šár-ra mu - na - ki-mu si-mat É . KUR MUNUS . SIG₅ I ... GAL ŠI ( ) ... KÙ ... AN ... MA ina GÁ . NUN - ni-šú ú - šar - ma - a šu-bat-su é - sag - íl ú-šak-lil GABA . RI ap - se-e É . GAL MAN DINGIR . MEŠ d AMAR . UTU KÙ . BABBAR KÙ . GI ú-za - ʾi-in ú - šá-an-bi-ṭa d UTU - niš d AMAR . UTU EN ṣi - ru na-bu - ú zi - kir MU - ia ul-tu KI - ... a - šar nab-ni-ti-šú qé-reb GIŠ . MÁ ú-še-li - ma ú - šá-aṣ-bi - it KASKAL šu - an - na . KI ina é-sag - íl šu-bat EN - ti - šú ú - še-rib - ma ... šub - tuš-šú ... DINGIR . ME tik-le-ia ... KUR . mu-ṣur u KUR . ku-si ... šu-an - na . KI e-kur - rù KÙ . GI ... KUR . a-ra-al-li DA ... ina u₄ - me-šu-ma ṣi - in - da GIŠ . GIGIR LUGAL DINGIR ṣir-tu ru - kub EN EN . EN GIŠ . NÁ GIŠ . MES . MÁ . KAN . NA iṣ - ṣi da - re - e šá KÙ . GI lit-bu - šat ... - at a-na ma - a-a - al d ... AN . ŠÁR u d ... ( ) - ia ... ... ... ... a-na ... BÀD šu - a-tu e-na-aḫ-ma i-... a-šar - šú ú-me-es-si dan-na-as - su ak-šud ina ITI DÙG . GA UD ŠE . GA UŠ₈-šú ad - di ú-kin SIG₄ - su ina pe - e-li NA₄ KUR-i ( dan-ni ) ... šá te-me - en-šú ina Ì . GIŠ ... ŠIM . ḪI . A DÙG . GA . MEŠ ab - lu-la ta-ra - ḫu - uš ul-tu UŠ₈-šú a - di GABA . DIB - šú ar - ṣip ú-šak-lil UGU ša u₄ - me pa-ni ú-šá - tir ú-šar - ri-iḫ nab-ni-su NA₄ . NA . RÚ . A . MEŠ ša MAN . MEŠ a-lik pa-ni-ia e-piš BÀD šú-a - te ina Ì . GIŠ ap - šu-uš UDU . SISKUR aq - qi it - ti NA₄ . NA . RÚ . A . MEŠ ši-ṭir MU-ia áš - kun NUN EGIR-ú ina MAN . MEŠ DUMU . MEŠ - ia ša aš-šur u d iš-tar a - na be-lut KUR ù UN . MEŠ i - nam-bu-ú zi - kir - šú e-nu-ma BÀD šu - a-tu i-lab-bi-ru - ma in - na-ḫu an - ḫu-su lu-ud-diš ki-ma ia - a-ti-ma NA₄ . NA . RÚ . A . MEŠ ši-ṭir MU-ia Ì . GIŠ lip - šu - uš UDU . SÍSKUR liq-qí it-ti NA₄ . NA . RÚ . A . MEŠ ši - ṭir MU-šú liš - kun d aš-šur d IŠKUR d INANNA ik - ri - bi-šú i-šem-mu-ú ITI . DU₆ . KÙ li-mu m u₈-a - nu LÚ . EN . NAM KUR . qu-e,"Ashurbanipal , great king , strong king , king of the world , king of As syria , the pious servant , the one who reveres the great gods , beloved of the god Aššur and the goddess Mullissu , the one required by the gods Nabû and Marduk , the one who protects the secret knowledge of the great gods , ( 5 ) the one who is assiduous towards san ctuari es , the holy priest whose gi ving of food off erings the gods of heaven ( and ) netherworld enj oy , the one who ... Ešarra , the one who am a sses te mple appurtenance ( s ) , ( No translation possible ) I made ( him ) t ake his seat in his ( own ) pri vate room . I completed Es agil . ( As for ) the replica of the apsû , the pala ce of the k ing of the go d s , the god Marduk , I dec orated ( it ) with silver ( and ) gold ( and ) made ( it ) shine like the sun . ( As for ) the god Marduk , the exalte d lord , the one who called me by name , from ... ... the pl ace of his creation , I loaded ( him ) into a bo at and ( 20 ) made ( him ) tak e the road to Š uanna ( Babylon ) . I made ( them ) enter into Esag il , the seat of his lordly majesty and placed ( him ) on his s eat . ... ... the gods , my helpers , ... Egypt and Kush ( 25 ) ... Šuan na ( Babylon ) , a temple ... gold ... the underworld ... ... . At that time , the trap pi ngs of the exalted chariot of the king of the god ( s ) ( Marduk ) , the v ehicle of the lord of lo<rds >, ( and ) a bed of mus ukkann u - wood , a du rable wo od , ( 30 ) that is cla d with gold ... as a bed for the god ( dess ) ... ( the god ) Aššur and the god ( dess ) ... my ... ... ... ... to/for ... t hat wall became dilapidated and ... I identified its ( original ) site ( and ) reached its foundation pit . ( rev . 5´ ) In a favorable mon th , ( on ) an auspicious day , I ( re ) la id its foundation ( s and thereby ) secured its bri ckwork . With limestone , a ( strong ) mountain st one , ... of its foundation ( s ) . I m ixed ( the mud for ) its revetment with oil ... ( and ) pleasant ( -smelling ) aromatic s . I built ( and ) completed ( it ) from its foun dation ( s ) t o its crenellations . ( rev . 10´ ) I made ( it ) larger th an the one in the da ys of the past ( and ) its appearance ( more ) res plendent . ( As for the ) st eles of the kings who came before me who bui lt this wal l , I anointed ( them ) wi th oil , ma de an offer ing , ( and ) p laced ( them ) w ith st eles bearing my name . May a fut ure ruler , one of the kings , my descendants , whom ( the god ) Aššur and the goddess Ištar nominat e f or ruling over the land and people , renovate its dilapidat ed section ( s ) when t his wall becomes old and dilapidated . Just like me , ( rev . 20´ ) ma y he an oi n t the steles bearing my name with oil , make an offering , ( and ) pla ce ( them ) with st eles bear ing his name . The deities Aššur , Adad , ( and ) Ištar will ( then ) listen to his pra yers . Tašrītu ( VII ) , eponymy of Awiānu , governor of the land Que ( 655 ) .",oracc
