oa,english
"ù E-na-A-šur DUMU I-ku-pì-A-šur IGI x [x x x x x x] A-ni-na-a DUMU DIRIG-im tap-pá-i-ni 10 TÚG [x x x x] ša a-bi4-ni a-na kà-ri-im Kà-ni-iš a-[na x x x x] ú-bi4-il5 5 1/2 ma-na AN.NA ša i-na x [x x x x] ib-tù-ru-ma il5-qé-ú 1 ma-na AN.[NA x x x x] ku-a-tí-ma il5-qé-ú 12 GÍN AN.NA i[z-ku-ma x x] ma-ah-ri-šu-ma iš-qúl ŠU.NIGIN 8 2/3 m[a-na <gap> AN.NA] i-ší-a-ma-tí-šu i-li-bi4 Puzur2-A-šur [ù] [x x x x] IGI E-nam-Sú-in DUMU A-šur-ma-lik IGI A-š[ùr- x x x]-a","and Ennam-Aššur, son of Ikuppi-Aššur, (and) of [<gap>]; Aninaya, son of Watrum was our colleague. Ten textiles [<gap>], of our father he brought to kārum Kanesh. For [<gap>], 5 1/2 minas of tin, which proved to be in [<gap>] and which he took, 1 mina of tin [<gap>] your representatives also took, 12 shekels of tin were cleared and he weighed it out in his very presence. In all 8 2/3 minas [and x shekels of tin] from his sales he [charged] to Puzur-Aššur and [<gap>] in the presence of Ennam-Suen, son of Aššur-mālik, (and) of Aš[šur-<gap>]."
"1 ma-na KÙ.B. ku-nu-ki ša A-šur-ma-lik 3 x [x m]a-na KÙ.B. TÚG ša A-ki-a-a ù A-ki-ta-a KÙ.B. ša E-na-A-šur a-na A-ni-na-a áp-qí-id 5/6 ma-na 3 GÍN KÙ.B. ku-nu-ki ša I-ku-pì-a DUMU A-ku-sà-nim a-ha-ma 17 1/2 GÍN KÙ.B. ku-nu-ki ša A-ki-ta-a a-na A-šur-ni-šu DUMU IZ-kà-nim a-ni-iš-a-ma áp-qí-id IGI I-di-Sú-in DUMU Ku-ku-lá-nim IGI A-hi-a-a DUMU Lá-qé-ep IGI Hu-bi-tum IGI A-ki-a-a DUMU A-ku-sà-nim","One mina of silver under Aššur-mālik's seals, 3 [<gap>] worth [x] minas of silver, a textile of Akiaya and Azutaya, silver belonging to Ennam-Aššur, I entrusted to Aninaya. 5/6 mina and 3 shekels of silver under the seals of Ikuppiya, son of Akusānum (and) separately 17 1/2 shekels of silver under the seals of Akitaya, I brought along and entrusted to Aššur-nišū, son of IZkānum in the presence of Iddin-Suen, son of Kukulānum, of Ahiaya, son of Laqēp, of Hubītum, (and) of Akiaya, son of Akusānum."
"ší-be-e a-ni-ú-tim i-na Né-eh-ri-a i-nu-mì ri-ik-sí áp-(erasure)-qí-du-šu-nu-tí-ni áš-ku-šu-nu 4 GÍN KÙ.B. ku-nu-ki ša A-ki-ta-a a-na A-ni-na-a IGI a-ni-ú-tí-ma áp-qí-id IGI A-ni-na-a DUMU DIRIG-im IGI A-šur-ni-šu DUMU IZ-kà-nim IGI A-ki-<a>-a DUMU A-ku-sà-nim ší-bu-ú a-na I-dí-A-šur DUMU Šu-Be-lim áš-ku-nu ITI.1.KAM A-lá-na-tim li-mu-um DÙG-A-šur 1 1/2 GÍN KÙ.B. i-li-bi4 A-šur-e-na[m]","These witnesses I set against them in Nehriya when I entrusted to them the packets (of silver). Four shekels of silver under the seals of Akitaya I entrusted to Aninaya, in the presence of these same persons, in the presence of Aninaya, son of Watrum, of Aššur-nišū, son of IZkānum, of Aki<a>ya, son of Akusānum - the witnesses which I had set against Iddin-Aššur, son of Šu-Bēlum. Month XII, eponymy of Ṭāb-Aššur. 1 1/2 shekel of silver is due from Aššur-ennam."
"10 GÍN KÙ.B. be-<ú>-lá-at Puzur2-A-šur kà-ṣa-ri-a nu-wa-[um] ú-kà-il5-ma KÙ.B. a-na-ku al-qé-ma ṭup-pá-a[m] ša ku-nu-ki-a: a-dí-šu-ma ŠÀ.BA 1 1/2 [GÍN KÙ.B.] i-li-bi4-šu i-ší-it-ma [ṭup-pu-šu] a-dí KÙ.B. i-du-nu a-na DUMU GA-[x x x] IGI A-hi-a-a IGI A-lá-hi-im [DUMU] I-d[í-x x x IGI] Šu-Nu-nu (erasure) DUMU A-da-da-a i-[n]a Né-e[h-ri-a áp-qí-id]","10 shekels of silver, the working capital of Puzur-Aššur, my harnessor, the native held and when I myself took the silver I gave him a tablet with my seal and 1 1/2 shekel [of silver] thereof remains as his debt and I gave [his tablet] in deposit to the son of GA[<gap>] until he gives me the silver. In the presence of Ahiaya, of Ali-ahum, son of Iddi[n-<gap>], (and) of Šu-Nunu, son of Adadaya, in Nehriya."
"um-ma a-na-ku-ma KÙ.B. ša Puzur2-[x x x x] [a]-n[a] a-lim a-na š[í]-a-ma-tim ni-[da-na-kum] [x G]ÍN KÙ.B. a-na T[ÚG] KÙ.B. [ú]-šé-[x x x x] KÙ.B. lu iš-tù Ma-m[a-a] KÙ.[B.] lu i[š-tù x x x x] lá-[ak-nu]-uk-ma lu-<<ú>>-šé-bi4-lá-k[í]-im [x x x x] [x x x x x KÙ].KI DIRIG-am 14 GÍN KÙ.B. [x x x x] [x x x x x x í]-li-bi4 A-[x x] i-šu [x x x x]","I said: ""The silver belongs to Puzur-[Aššur], we [give it to you] to bring it to the city for making purchases."" [<gap>] shekels of silver for a textile(?), the silver <gap>, either from Mamma or from [<gap>] I will put under seal and send to you. [<gap>] gold of extremely good quality (and) 14 shekels of silver <gap> [<gap>] I have as a claim on the gentleman <gap>"
"[lá li-bi DINGIR-ma A]-šur-lá-ma-sí DUMU A-šur-ma-lik ší-ib-kà me-et Ku-li-a: A-šur-e-nam [x x x x] x Il5-ba-ni ú-ta-ma ú KÙ.B.-pì li-ih-liq-šu A-šur-e-nam [x x x x K]Ù.B. ù ší-a-ma-tí-šu A-šur-e-nam i-ša-qá-lam IGI A-ga-a DUMU A-hu-ni [x x x x x x m]a-a DUMU LU/ZU-[x x] x IGI A-šur-ma-lik DUMU Ku-ra-ra [x x x x x x x x x] x x x x [x x x x]","[Unfortunately], Aššur-lamassī, son of Aššur-mālik, your witness, has died. Kuliya will take an oath from Aššur-ennam, [<gap>] (and) Ilī-bāni and should my silver get lost for him, then Aššur-ennam [<gap> and] Aššur-ennam will pay me the silver or what has been purchased with it. In the presence of Agaya, son of Ahuni, [of <gap>, of <gap>maya, son of L/Zu-<gap>, of Aššur-mālik, son of Kurara, <gap>"
"i-na 1/3 ma-na 4 GÍN [KÙ.B.] ší-im am-tí-im ša a-n[a] A-ta-na-ah: a-dí-nu-šu-ni 4 GÍN KÙ.B. a-na A-[hu]-[qar] i-dí-in 12 LÁ 1/6 GÍN [KÙ.B.] a-na Bé-lúm-ba-ni i-[dí-in] 7 GÍN KÙ.B. hu-bu-u[l x x (x)] 1 1/6 GÍN KÙ.B ú 1/2 G[ÍN] ṣí-ib-ta[(RA)-am] i-x [x x a-na] A-ta-na-ah: ni-dí-i[n]","Of 24 shekels of [silver], the price of the slave-girl, which I had given to Atanah, he gave 4 shekels of silver to Ah[u-waqar]; 11 5/6 shekels of [silver] he [gave] to Bēlum-bāni. 7 shekels of silver, the debt of <gap>, 1 1/6 shekels of silver and 1/2? <gap> as interest <gap> [<gap> to] Atanah we gave."
"1/2 GÍN KÙ.B. i-li-bi4 A-hu-ša DUMU Ku-ra 1/2 GÍN KÙ.B. i-li-bi4 ZA-ga[-al-i ÌR-dí-šu 1 LÁ 1/6 GÍN dá-a-tí 5 ma-na KÙ.B. mu-ṭá KÙ.B. 1/2 GÍN KÙ.B. bi4-it[(NI)-qá-at ma-na-im ša AN.NA-ki-im ša 5 ma-na KÙ.B. 1/2 GÍN KÙ.B. a-na A-šur-DÙG a-dí-in mi-ma a-nim i-li-bi4 A-ta-<a> DUMU I-ku-nim","1/2 shekel of silver is owed by Ahuša, son of Kura. 1/2 shekel is owed by Zagal'u, his slave, 5/6 shekel my road-tax. 5 minas of silver - the deficiency on the silver (is) 1/2 shekel of silver, due to the underweight of the (1-)mina-weight (used) for tin for a value of 5 minas of silver - I gave (this) 1/2 shekel of silver to Aššur-ṭāb. All this is owed by Ata(ya), son of Ikūnum."
"ga-am-ru-um: dá-a-tù-um ta-ší-a-tù-um ú mu-ṭá-a 10 ma-na-e ša 42 1/2 ma-na / AN.NA i-li-bi4: A-ta-a-ma DUMU I-ku-nim Bé-lúm-ba-ni i-šu 15 GÍN KÙ.B. ṣa-ru-pá-am 3 ma-na URUDU ša ša-du-e-šu 2 ší-na ú-kà-pè: WA-DÍ-ú-tim a-ta-ad-mi-iq-tim mi-ma a-nim i-li-bi4 Na-ra-am-ZU DUMU Kà-ki-a ú I-dí-in-Ni-ra-ah Bé-lúm-ba-ni i-šu IGI A-lá-hi-im DUMU E-na-ah-i-li","Travel expenses, road-tax, cost of transport and deficiency on the 10-mina-weight (used) for (weighing) 42 1/2 minas of tin is also owed by Ataya, son of Ikūnum, to Bēlum-bāni. 15 shekels of refined silver, 3 minas of native copper, two <gap> saddlecloths as tadmiqtum - all this is owed by Narām-Suen, son of Kakkiya, and Iddin-Nirah to Bēlum-bāni. Witnessed by Ali-ahum, son of Enah-ilī."
"7 GÍN KÙ.B. [ṣa-ru]-pá-am i-li-bi4 Šu-Ku-bi4-im DUMU Šu-Be-lúm Be-lú-ba-ni i-šu IGI A-lá-hi-im DUMU E-na-ah-i-li IGI A-sà-nim DUMU A-bi-ru-ša-ki-im 30 5/6 [ma-na] sà-am-tám-sic ša ba-ri-ni 5 ma-na 6 GÍN KÙ.B. [it]-ba-al i-na ŠÀ.BA 3 ma-na 5 GÍ[N KÙ.B.] ša Be-lúm-ba-ni 1 1/3 ma-n[a KÙ.B.] ša ZA-ga-al-i 2/3 ma-n[a KÙ.B.] ša IŠKUR-ba-ni 6 iš-[ra-tum]","7 shekels of refined silver due by Šu-Kūbum, son of Šu-Bēlum, to Bēlum-bāni, witnessed by Ali-ahum, son of Enah-ilī, (and) by Asānum, son of Abirušakum. 30 5/6 minas of carnelian, our joint property, cost 5 minas 5 shekels of silver. 3 minas 5 shekels of silver thereof belong to Bēlum-bāni, 1 1/3 min[a of silver] to Zagal'u, 2/3 mina [of silver] to Adad-bāni. 6 be[lts],"
"2 ú-kà-pu 1 kà-sú-u[m q]á-tí[m] x 2 e-ma-re ṣa-lá-me-e[n] x ma-na KÙ.B. 6 1/3 [GÍN KÙ.B.] ú am-tám ki-ma 1/3 [ma]-[na KÙ.B.] ub-lu-nim: mì-ma a-nim A-sà-[núm] a-na Be-lúm-ba-ni i-dí-in","2 saddlecloths, 1 hand cup, 2 black donkeys (worth) [1/3] mina and 6 1/3 shekels of silver, and a slave-girl, equivalent of 1/3 mina of silver, they brought here. All this Asānum gave to Bēlum-bāni."
"11 GÍN KÙ.B. ṣa-ru-pa-am i-l[i-bi] Lá-qé-pí-im DUB.SAR DUMU A-ba-a-a [Be-lúm-ba-ni i-šu 1/3 ma-na 4 GÍN KÙ.B. a-na a-lim [ú-ša-ak-ša-dam [IGI] I-[ku]-nim DUMU A-šur-ba-[ni [I]GI DUMU Šu-lá-áb-ra-at","11 shekels of refined silver Laqēpum, the scribe, son of Abaya, owes to Bēlum-bāni; (for it) he will let 24 shekels of silver reach me in the City. Witnessed by Ikūnum, son of Aššur-bāni, (and) by the son of Šu-Ilabrat."
"i-na 2 ma-na 15 GÍN KÙ.B. ša a-šu-mì ší-im bé-tim iš-tí A-šur-ma-lik DUMU Ku-ra-ra Bé-lúm-ba-ni I-na-Sú-in ú Pè-ru-wa il5-qé-ú-ni-ni-ma ṭup-pá-šu-nu i-hi-ir-mu-ú i-na ŠÀ.BA 5/6 ma-na i-na KÙ.B.-pí-a Bé-lúm-ba-ni [iš-qú-ul","Of the 2 minas and 15 shekels of silver which, because of the payment for the house, Bēlum-bāni, Ennam-Suen and Peruwa, had obtained from Aššur-mālik, son of Kurara, and for which their valid deed had been drawn up, 5/6 mina thereof Bēlum-bāni paid with my silver."
"a-na 1/3 ma-na 5 GÍN KÙ.B. ṭup-pá-am ú-kà-il5-ma ṣí-ib-tum ma-dí-iš i-li-ik-ma a-na 5/6 ma-na KÙ.B. im-gu-ra-ni 1/2 ma-na KÙ.B. mu-sú-kà-e","For 25 shekels of silver I kept a debt-note and a lot of interest has accrued and he has agreed with me on an amount of 5/6 mina of silver. 1/2 mina of spoiled silver"
"úṣ-ba-am 1/3 ma-na 1 GÍN KÙ.B. ší-im 3 ku-ta-ni ša qá-tim ša a-qá-tí Bé-lúm-ba-ni a-na É kà-ri-im i-dí-ú ŠU.NIGIN 1 2/3 ma-na 1 GÍN KÙ.B. a-ha-ma 1 ma-na KÙ.B. ša a-šu-mì A-na-ah-i-lí DUMU [Tá-ki-i A-šur-DÙG DUMU A-bu-ša-lim a-pu-lu na-áš-pè-er-tám ša A-šur-DÙG A-šur-ma-lik i-ni-iš-am um-ma šu-ut-ma i-na ni-kà-sí KÙ.B. A-šur-DÙG ú-tá-hi-a-am iš-té-ni-iš","has been added for me. 21 shekels of silver, the price of three kutānu-textiles of current quality that he deposited on Bēlum-bāni's account in the kārum-office – in all 1 2/3 mina and 1 shekel of silver. Separately, as for the 1 mina of silver, which on behalf of Anah-ilī, the son of Ṭāki, I guaranteed to Aššur-ṭāb, son of Abu-šalim, Aššur-mālik brought me a letter of Aššur-ṭāb, saying: ""At the accounting Aššur-ṭāb has transferred that silver (claim) to me"". All together"
"2 2/3 mana 1 GÍN KÙ.B. A-šur-ma-lik i-na li-bi4-a i-dí-í IGI I-dí-Sú-in DUMU Ku-ku-lá-nim IGI Šu-Iš-ha-ra DUMU Ku-ra-ra IGI A-šur-ṣú-lu-li DUMU I-na-Sú-in IGI A-šur-ba-ni DUB.SAR KÙ.B. a-na a-lim ša-ak-šu-dam qá-bi-a-ku ú iš-tù A-šur-ma-lik me-tù i-na Ka-ni-iš 2 2/3 ma-na 1 GÍN KÙ.B. a-na Šu-Iš-ha-ra-a DUMU Ku-ra-ra Ku-ra-ra-a DUMU A-šur-ma-lik ù Lá-ba-na-da ra-bi-sí KÙ.B. áš-qúl IGI A-mur-UTU Puzur2-i-lí IGI DUMU ku-um-ri-im ša [A-šur-ba-ni E-a-ša-ri-im IGI A-šur-i-mì-tí DUMU GA-DU-ba-tim IGI En-um-A-šur DUMU E-na-nim DUMU Ku-up-ru-ra-ak IGI A-šur-ba-ni / DUB.SAR na-áš-pè-er-tám a-na A-šur-DÙG a-šu-mì [1 ma-na KÙ./B. i-dí-nu-nim na-áš-pè-er-tí A-šur-DÙG [ú-kà-al","Aššur-mālik has charged me 2 2/3 minas and 1 shekel of silver. In the presence of Iddin-Suen, son of Kukulānum, of Šu-Išhara, son of Kurara, of Aššur-ṣululī, son of Ennam-Suen, of Aššur-bāni, the scribe. I had been ordered to make this silver arrive in the City, but after Aššur-mālik had died, I paid in Kanesh 2 2/3 minas and 1 shekel of silver to Šu-Išhara, son of Kurara, Kurara, son of Aššur-mālik, and to Laban-nādā, the attorney, in the presence of Amur-Šamaš, son of Puzur-ilī, of Aššur-bāni, son of the priest of Ea-šarrum, of Aššur-imittī, son of GADUbatum, of Ennam-Aššur, son of Ennānum, son of Kuprurak, (and) of Aššur-bāni, the scribe. The letter addressed to Aššur-ṭāb concerning the 1 mina of silver they gave me (and) I have a letter of Aššur-ṭāb in my possession."
"2 e-ma-re-e a-na 1/2 ma-na / 3 GÍN KÙ.B. 2 e-ma-re a-na 1/3 ma-na 5 1/2 GÍN KÙ.B.","2 donkeys for 33 shekels of silver, 2 donkeys for 25 1/2 shekels of silver,"
"1 1/2 GÍN KÙ.B. i-na ší-im TÚG-ba-tim ša a-na a-ší-tí-šu tí-sà-ba-am iš-ú-mu-ú ŠU.NIGIN 1 ma-na KÙ.B. i-na li-bi A-lu-ta-ni Hu-ša-na-lim IGI Hu-na-da-du-a e-me-šu ú ší-ší-im ša A-lu-ta-ni IGI Ba-za-za-a 2/3 ma-na 5 GÍN /KÙ.B. ší-im 2ší-na e-ma-re [Á]š-du-na-ni Hu-ša-na-lim ha-bu-ul IGI Hu-na-da-du-a IGI Hu-ur-du-na-ni","1 1/2 shekel of silver from the price of a textile, when he bought a tisābu-garment for his wife – in all 1 mina of silver due from Alutani Hušanālum, witnessed by Hunadadu'a, his son-in-law and the <gap> of Alutani, and by Bazazaya. 45 shekels of silver, the price of 2 donkeys Ašdunani Hušanālum owes, witnessed by Hunadadu, by Hurdunani."
"IGI Ba-za-za-a 1/2 ma-na KÙ.B. ší-im 2 e-ma-re-e i-li-bi Na-na-li-i ù Ú-ba-ar-za-a a-hi-šu-ú IGI Ú-šu-bu-ha-ma-za-a IGI Du-me-ni IGI Hu-na-da-du-a IGI Ba-za-za-a-a 1/3 ma-na 4 GÍN / KÙ.B. ší-im 2 e-ma-re-e i-li-bi4 Ku-li-a pá-ší-ri-im IGI Ba-za-za-a IGI Hu-na-da-du-a IGI Ú-a-na-me-a tap-pá-i-šu-ú IGI Ha-šu-ta-a-li-i","by Bazazaya. 1/2 mina of silver, the price of 2 donkeys owed by Nanalī and Ubarzaya, his brother, witnessed by Ušubuhamazaya, by Dumeni, by Hunadadu'a, by Bazazaya. 24 shekels of silver the price of 2 donkeys, owed by Kuliya, the retailer, witnessed by Bazazaya, by Hunadaduam, by U'anamea, his partner, and by Hašutayalī."
"1/2 ma-na KÙ.B. ší-im 2 e-ma-re i-li-bi Ba-za-za-a IGI Ur-dim IGI A-li-a ŠU.NIGIN 3 ma-na 9 GÍN KÙ.B. áp-kà i-da-áš-e i-ša-qú-lu","1/2 mina of silver, the price of 2 donkeys, owed by Bazazaya, witnessed by Urdum, by Aliya. All together: 3 minas and 9 shekels, your silver, they will pay in spring."
"2 1/2 ma-na ṣí-BA-ra-tum qá-dum ša A-bi4-e-dim 1 1/3 ma-na a-na ú-ra-ha-zi ša 1 ma-na ul-GA-tim zi-ga-an-LUGAL 6 ma-na a-lu-li-tám ša 3 1/2 GÍN KÙ.B. ša 10 GÍN KÙ.B. AN.NA 8 1/2 GÍN KÙ.B. a-na e-ma-ri-im 4 1/2 ma-na URUDU a-na qá-qá-da-tí-šu-nu 1 ma-na a-na a-a-ar-tim mi-ma a-nim a-na A-šur-ṣú-lu-li a-dí-in ša-bu","2 1/2 minas of <gap> including those of Abī-wēdum. 1 1/3 mina for <gap> For 1 mina <gap> ziganšarrū, 6 minas alulītum worth 3 1/2 shekels of silver, for 10 shekels of silver tin, 8 1/2 shekels of silver for a donkey, 4 1/2 minas of copper for their head-tax, 1 mina for cowry shells. All this I gave to Aššur-ṣululī, he is satisfied."
"3 ma-na SÍG.HI.A i-nu-mì 1 ma-na SÍG.HI.A a-na nu-a-im ša a-al i-ṣú-ra-tim a-dí-nu 5 ma-na SÍG.HI.A ša iš-tù Té-ga-ra-ma a-ni-iš-ú 5 ma-na SÍG.HI.A ša É kà-ri-im 1 1/2 ma-na SÍG.HI.A ni-qí-a-am ša a-na Sú-in a-qí-ú 2 1/2 ma-na SÍG.HI.A ni-qí-a-am ša a-na A-na-a a-qí-ú 9 / ma-na SÍG.HI.A i-na ša En-um-A-šur i-dí-na-ni ŠU.NIGIN 21 / ma-na a-na am-tim e-zi-ib","Three minas of wool when I gave 1 mina of wool to the native of 'Birds-town'. 5 minas of wool which I had brought from Tegarama. 5 minas of wool of the kārum-office. 1 1/2 mina of wool, a gift which I offered to Suen. 2 1/2 minas of wool, a gift which I offered to Anna. 9 minas of wool from what Ennum-Aššur had given me. In all 21 minas I left to the maid."
"17 GÍN KÙ.B. ší-im e-ma-ri-im 30 ma-na URUDU Ištar-pí-lá-ah a-na ar-be-e-šu (erasure) ù-kà-pu-ú ša-pí-ú-tim 9 ma-na URUDU SIG5 i-ší-im sú-ub-ri-im 1 ma-na URUDU ší-kam iš-tí DUMU Ištar-ba-ni 2 kà-ar-pát kà-mu-nu mi-ma a-nim i-na Du-ur-hu-mi-it i-ba-ší 10 pí-ri-kà-nu 1 GÚ SÍG.HI.A 2 ú-kà-pé-e 80 lu-ur-ma-tum 10 ma-na Ì.GIŠ sà-ar-dam sà-áp-tí-nam ni-ib-ra-<ra>-am 2 ší-it-re-e ša Za-al-pá 2 e-ma-re ú ù-nu-sú-nu mi-ma a-nim a-na A-šur-i-mì-tí / a-dí-in","17 shekels of silver, the price of a donkey, 30 minas of copper of Ištar-pilah, 4 sets of thick saddlecloths, 9 minas of refined copper from the price of a slave, 1 mina of šikku-copper with the son of Ištar-bāni, 2 jars of cumin – all this is available in Durhumit. 10 pirikannu-textiles, 1 talent of wool, 2 saddle-rugs, 80 pomegranates, 10 minas of olive oil, a saptinnu- and a nibrāru-textile, 2 scarfs from Zalpa, 2 donkeys with their harness - all this I gave to Aššur-imittī."
"1 ú-kà-pá-am e-DÍ-am 4 eb-le-e 2 ší-na ma-at-li-ih-šé-e a-za-mì-lam hu-ur-ší-a-num ša du-ul-ba-tim hu-ur-ší-a-num ša kà-ma-re-e 2 ší-na","1 <gap> saddlecloth, 4 ropes, 2 pack-saddles, a sack, a box with dulbātum, a box with kamāru-fish, two"
"eb-lu-ú i-Du-ur-hu-[mi]-li[t] hu-ur-ší-a-num ša Il5-ba-ni DUMU Mu-ta-lim 3 GÍN KÙ.B. ha-bu-ul 1 1/3 ma-na KÙ.B. ša A-na-ah-ì-lí a-na Al-[pì-lí] i-lá-ak 1/2 ma-na KÙ.B. i-na pá-ni-tí-a i-lá-ak mi-ma a-nim iš-tí Al-p[ì]-lí 10 ma-na URUDU iš-tí a-ša-at A-šur-SIG5 ša Tù-ùh-pì-a e-ma-ra-am ù ú-nu-sú-ú a-ha-ma 3 GÍN KÙ.B. a-na A-sà-nim ha-bu-ul","ropes, in Durhumit. A box of Ilī-bāni, son of Mutālum, 3 shekels of silver he owes. 1 1/3 mina of silver of Anah-ilī will go to Al[pilī], 1/2 mina of silver will go with the first opportunity I have. All this is with Alpilī. 10 minas of copper with the wife of Aššur-damiq of Tuhpiya, a donkey with its harness (and) separately 3 shekels of silver he owes to Asānum."
"9 ma-na URUDU SIG5 i-li-bi Ur-dim ša i-re-eš kà-ri-im Dur4-hu-mi-iš i-za-zu 1 ma-na URUDU ší-kam i-li-bi4 A-šur-i-dí DUMU Ištar-ba-ni 2 kà-ar-pát kà-mu-né ku-nu-ki-šu 13 ú-kà-pè wa-DÍ-ú-tum mi-ma a-nim ša Ku-li-a","9 minas of refined copper due from Urdum, who serves kārum Durhumit. 1 mina of šikku-copper due from Aššur-idī, son of Ištar-bāni. Two jars of cumin, with his seal, 13 <gap> saddlecloths - all this belongs to Kuliya."
"21 gu5-šu-ru GAL 23 tár-dí-útum 6 le-ú GAL-tum 8 tár-dí-ú-tum","21 large beams, 23 of smaller size; 6 large wooden boards, 8 of smaller size."
"2 ú-kà-pu-ú e-DÍ-ú-tum ša iš-tí Du-du-ú a-na kà-ar-pá-at ú na-bi-it ṭá-áb-tim al-qé-ú ù e-ma-sú-um ša 10 qé-e iš-tí En-um-A-šur DUMU ší-ip-ri-im i-na Té-ga-ra-ma i-ba-ší(I) 1/2 GÍN KÙ./B. ša UTU-ba-ni i-li-bi A-sà-nim 1 GÍN KÙ.B. i-tù-a-ri-šu i-da-šum","2 <gap> saddlecloths which I acquired from Dudū for one jar and a <gap> of salt. And one emāsum with a capacity of ten quarts is with Ennum-Aššur, the son of the messenger, in Tegarama. Half a shekel of silver of Šamaš-bāni is due from Asānum, when he comes back he will give him 1 shekel of silver."
"1/3 ma-na KÙ.[B. x (x)] hi-ri-im ša Puzur2-[x (x)] Na-áb-Sú-in 10 G[ÍN KÙ.B.] ší-im pí-ri-kà-ni 9 GÍN KÙ.B. ša [x x (x)] 7 GÍN KÙ.B. ša [x x (x)] ŠU.NIGIN 1 ma-na 1 x [x x] a-na KÙ.B. [a-nim] 10 GÍN KÙ.G[I x x x] A-šur-ṣú-lu-[li x (x)] 10 GÍN KÙ.GI x [x x] ša ša-ku-ul-ti[m] ŠU.NIGIN 1/3 ma-na KÙ.[GI] ù 1/2 ma-<na> KÙ.B. mì-ma a]-n[im] ku-nu-ki-a Puzur2-Ištar DUMU En-na-nim Za-a[l-pá-i-um] a-na kà-li-[tí-ni?] ú-bi4-il5 IGI A-šur-e-mu-qí DUMU GA-ZA-nim DUB.SAR","1/3 mina of silver [for <gap>] <gap> of Puzur-[<gap>] Nab-Suen, 10 shekels [of silver] the price of pirikannu-textiles, 9 shekels of silver of [<gap>], 7 shekels of silver of [<gap>], in all 1 mina 1+ x [shekels of silver]. For this silver <gap> 10 shekels of gold <gap> Aššur-ṣululī <gap> 10 shekels of gold <gap> for the dinner. In all 20 shekels of gold and 1/2 mina of silver. All this, under my seal, Puzur-Ištar, son of Ennānum, from Zalpa, brought to [our] bride-in-spe. In the presence of Aššur-emūqī, son of GAZānum, the scribe."
"da-a-a-nu dí-nam i-dí-nu-ma 6 GÍN KÙ.B. / ša Kà-áp-sí-a: DAM.MÍ A-lá-bí-im: a-na Bu-ṣí DUMU.MÍ I-dí-IŠKUR ta-dí-nu iš-tù li-mi-im A-šur-i-mi-tí ma-lá-hi-im 1 ma-na-um 1/2 ma-na i-na ša-tim ṣí-ib-tám tù-ṣú-bu a-na KÙ.B. ú ṣí-ba-tí-šu Kà-áp-sí-a .DAM.MÍ A-lá-bi4-im Bu-ṣí DUMU.MÍ I-dí-IŠKUR ta-še-e: A-ki-a DUMU Puzur4-A-šur x UTU-ba-ni DUMU En-na-Sú-in Ma-nu-um-ki-A-šur DUMU A-hu-wa-qar a-wi-lu a-ni-ú-tum da-a-nu","The judges passed the following verdict: The 6 shekels of silver that Kapsiya, wife of Ali-abum, had given to Būṣi, wife of Iddin-Adad, and for which from the eponymy of Aššur-imittī, the boatman, she would add an interest of 1/2 mina per mina per year - for this silver and the accumulated interest on it Kapsiya, the wife of Ali-abum will sue Būṣi, wife of Iddin-Adad. Akiya, son of Puzur-Aššur, Šamaš-bāni, son of Ennam-Suen, (and) Mannum-kī-Aššur, son of Ahu-waqar - these gentlemen were the judges."
"A-ta-ta a-na En-na-Sú-in DUMU Šu-Anim iš-ba-at-ni-a-tí-ma um-ma A-ta-ta-ma: a-ma 3 li-me URUDU ru-ba-um Wa-ah-šu-ša-na-i-um a-[na] ga-ma-ar-tim e-pu-ul-kà: KÙ.B. ší-im-šu a-na a-lim tù-ša-ak-ša-dam me-na-lam: a-ta ta-kà-al: ší-im-tám a-na-ku a-lá-qé um-ma En-na-Sú-in-ma KÙ.B. ší-im URUDU a-na a-lim ù-ša-ak-ša-da-ku-ma [ší]-ma-am: a-ša-a-ma né-ma-lam a-na-ku a-kà-al IGI Na-áb-Sú-in DUMU Pi-lá-ah-Ištar IGI Ma-lik-e-nam DUB.SAR","Atata seized us against Ennam-Suen, son of Šu-Anum and Atata said: ""Look here, 3000 (minas of) copper the ruler of Wahšušana has promised to pay to you as a final settlement. You would see to it that the silver paid for it would reach me in the City. You would enjoy the profit on it and I would obtain the capital sum"". Ennam-Suen answered: ""I would see to it that the silver paid for the copper reaches you in the City and I would make purchases (with it) and the profit (on it) I would enjoy"". In the presence of Nab-Suen, son of Pilah-Ištar, of Malik-ennam, the scribe."
"KIŠIB kà-ri-im Kà-ni-iš a-na Ku-li-a ša-qí-il5 [da]-t[im] ší-ip-ri-ni kà-ar kà-ar-[ma] a-le Sú-kà-li-a DUMU A-šur-iš-ti-kál wa-áš-bu-ni ṣa-he-er GAL","Seal of kārum Kanesh. To Kuliya, the dātu-payer, our messenger, to every single kārum, wherever Sukkaliya, son of Aššuriš-tikal is staying, small and big."
